hunt_code,hunt_name,species,residency,hunt_class,permits_2026_total,change_flags,recommended_review
EA2006,Yellowstone,Elk,Resident,Antlerless,2000,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2008,"Nine Mile, Anthro-Myton Bench",Elk,Nonresident,Antlerless,250,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2008,"Nine Mile, Anthro-Myton Bench",Elk,Resident,Antlerless,250,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2009,"La Sal, La Sal Mtns",Elk,Nonresident,Antlerless,70,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2009,"La Sal, La Sal Mtns",Elk,Resident,Antlerless,70,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2010,San Juan,Elk,Nonresident,Antlerless,50,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2010,San Juan,Elk,Resident,Antlerless,50,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2011,Manti,Elk,Nonresident,Antlerless,300,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2011,Manti,Elk,Resident,Antlerless,300,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2012,"Wasatch Mtns, West",Elk,Nonresident,Antlerless,400,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2012,"Wasatch Mtns, West",Elk,Resident,Antlerless,400,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2013,"Wasatch Mtns, Currant Creek",Elk,Nonresident,Antlerless,2000,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2013,"Wasatch Mtns, Currant Creek",Elk,Resident,Antlerless,2000,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2014,"Wasatch Mtns, Avintaquin - White River",Elk,Nonresident,Antlerless,400,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2014,"Wasatch Mtns, Avintaquin - White River",Elk,Resident,Antlerless,400,new_hunts_2026|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2015,Paunsaugunt,Elk,Nonresident,Antlerless,100,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2015,Paunsaugunt,Elk,Resident,Antlerless,100,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2016,Nebo,Elk,Nonresident,Antlerless,275,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2016,Nebo,Elk,Resident,Antlerless,275,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2017,Mt Dutton,Elk,Nonresident,Antlerless,75,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2017,Mt Dutton,Elk,Resident,Antlerless,75,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2018,Panguitch Lake,Elk,Nonresident,Antlerless,75,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2018,Panguitch Lake,Elk,Resident,Antlerless,75,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2019,"West Desert, Tintic Valley",Elk,Nonresident,Antlerless,60,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2019,"West Desert, Tintic Valley",Elk,Resident,Antlerless,60,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2020,Zion,Elk,Nonresident,Antlerless,320,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2020,Zion,Elk,Resident,Antlerless,320,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2021,"Beaver, East",Elk,Nonresident,Antlerless,30,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2021,"Beaver, East",Elk,Resident,Antlerless,30,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2026,"Box Elder, Hansel Mtn",Elk,Nonresident,Antlerless,200,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2026,"Box Elder, Hansel Mtn",Elk,Resident,Antlerless,200,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2027,Cache,Elk,Nonresident,Antlerless,300,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2027,Cache,Elk,Resident,Antlerless,300,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2028,Vernal/Bonanza,Elk,Nonresident,Antlerless,450,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2028,Vernal/Bonanza,Elk,Resident,Antlerless,450,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2029,"Nine Mile, Range Creek",Elk,Nonresident,Antlerless,150,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2029,"Nine Mile, Range Creek",Elk,Resident,Antlerless,150,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2030,Diamond Mtn,Elk,Nonresident,Antlerless,200,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2030,Diamond Mtn,Elk,Resident,Antlerless,200,new_hunts_2026|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2039,"Fillmore, Pahvant",Elk,Nonresident,Antlerless,150,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2039,"Fillmore, Pahvant",Elk,Resident,Antlerless,150,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2040,Kamas,Elk,Nonresident,Antlerless,150,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2040,Kamas,Elk,Resident,Antlerless,150,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2046,"Box Elder, Sawtooth",Elk,Nonresident,Antlerless,25,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EA2046,"Box Elder, Sawtooth",Elk,Resident,Antlerless,25,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1000,Elk - Statewide Permit,Elk,Nonresident,Statewide Permit,15,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1000,Sportsman Elk,Elk,Resident,Statewide Permit,15,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1001,Any Bull Elk Units,Elk,Nonresident,General Bull,10,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1001,Any Bull Elk Units,Elk,Resident,General Bull,10,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1002,Any Bull Elk Units,Elk,Nonresident,General Bull,6,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1002,Any Bull Elk Units,Elk,Resident,General Bull,6,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1003,Spike Only Units,Elk,Nonresident,Spike Only,16,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1003,Spike Only Units,Elk,Resident,Spike Only,16,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1004,Spike Only Units,Elk,Nonresident,Spike Only,6,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1004,Spike Only Units,Elk,Resident,Spike Only,6,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1005,Archery Hunters Choice Elk,Elk,Nonresident,General Bull,16,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1005,Archery Hunters Choice Elk,Elk,Resident,General Bull,16,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1010,Any Bull Elk Units,Elk,Nonresident,General Bull,17,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1010,Any Bull Elk Units,Elk,Resident,General Bull,17,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1012,Uinta Basin Private Lands Any Bull Elk,Elk,Nonresident,General Bull,500,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB1012,Uinta Basin Private Lands Any Bull Elk,Elk,Resident,General Bull,500,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB3128,"Box Elder, Grouse Creek",Elk,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB3128,"Box Elder, Grouse Creek",Elk,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB3209,"Box Elder, Pilot Mtn",Elk,Nonresident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB3209,"Box Elder, Pilot Mtn",Elk,Resident,Conservation,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB3620,The Dirty Dozen,Elk,Nonresident,CWMU,1,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
EB3620,The Dirty Dozen,Elk,Resident,CWMU,1,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
GO1000,Mountain Goat - Statewide Permit,Mountain Goat,Nonresident,Statewide Permit,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
GO1000,Sportsman Mountain Goat,Mountain Goat,Resident,Statewide Permit,1,new_hunts_2026|age_missing|management_objective_missing,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1531,Box Elder,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1531,Box Elder,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1534,Nebo,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1534,Nebo,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1536,Fillmore,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1536,Fillmore,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1538,Kamas,Deer,Nonresident,Private Land Only,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1538,Kamas,Deer,Resident,Private Land Only,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1540,Monroe,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1540,Monroe,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1541,Mt Dutton,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1541,Mt Dutton,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1542,Nine Mile,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1542,Nine Mile,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1544,Ogden,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1544,Ogden,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1547,Pine Valley,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1547,Pine Valley,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1549,Fishlake,Deer,Nonresident,Private Land Only,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1549,Fishlake,Deer,Resident,Private Land Only,2,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1559,Zion,Deer,Nonresident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1559,Zion,Deer,Resident,Private Land Only,2,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1591,Fillmore,Deer,Nonresident,Private Land Only,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1591,Fillmore,Deer,Resident,Private Land Only,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1592,Kamas,Deer,Nonresident,Private Land Only,1,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1592,Kamas,Deer,Resident,Private Land Only,1,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1593,Nine Mile,Deer,Nonresident,Private Land Only,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1593,Nine Mile,Deer,Resident,Private Land Only,1,new_hunts_2026|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1595,Pine Valley,Deer,Nonresident,Private Land Only,1,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1595,Pine Valley,Deer,Resident,Private Land Only,1,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
LO1596,Fishlake,Deer,Nonresident,Private Land Only,1,new_hunts_2026|harvest_missing|age_missing|management_objective_missing|same_name_different_code,"Review year-to-year continuity, point ladder behavior, and public display language before promotion."
