reported_hunt_year,model_target_year,hunt_code,species,average_harvest_age,average_harvest_age_3yr,age_data_available,age_source_file,age_source_page,age_source_table_title,crosswalk_confidence,age_mapping_status,source_package,source_priority,notes
2015,2016,GO6810,Mountain Goat,3.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2015,2016,GO6811,Mountain Goat,3.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2015,2016,GO6812,Mountain Goat,8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2015,2016,GO6813,Mountain Goat,8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2015,2016,GO6815,Mountain Goat,5.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2015,2016,GO6818,Mountain Goat,8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2015,2016,GO6819,Mountain Goat,8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2015,2016,GO6820,Mountain Goat,8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2015,2016,GO6821,Mountain Goat,3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Nebo; multiple related GO codes.
2015,2016,GO6822,Mountain Goat,4.7,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2016,2017,GO6800,Mountain Goat,4.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2016,2017,GO6801,Mountain Goat,4.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2016,2017,GO6802,Mountain Goat,4.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2016,2017,GO6804,Mountain Goat,6.7,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF older label Chalk Creek/Kamas; current table used High Uintas Kamas.
2016,2017,GO6805,Mountain Goat,5.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2016,2017,GO6806,Mountain Goat,5.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2016,2017,GO6807,Mountain Goat,5.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2016,2017,GO6808,Mountain Goat,5.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2016,2017,GO6809,Mountain Goat,3.7,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2016,2017,GO6810,Mountain Goat,3.7,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2016,2017,GO6811,Mountain Goat,3.7,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2016,2017,GO6812,Mountain Goat,2.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2016,2017,GO6813,Mountain Goat,2.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2016,2017,GO6815,Mountain Goat,5.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2016,2017,GO6818,Mountain Goat,2.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2016,2017,GO6819,Mountain Goat,2.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2016,2017,GO6820,Mountain Goat,2.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2016,2017,GO6822,Mountain Goat,4.6,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2017,2018,GO6800,Mountain Goat,3.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2017,2018,GO6801,Mountain Goat,3.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2017,2018,GO6802,Mountain Goat,3.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2017,2018,GO6803,Mountain Goat,3.5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Nebo; multiple related GO codes.
2017,2018,GO6804,Mountain Goat,2,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF older label Chalk Creek/Kamas; current table used High Uintas Kamas.
2017,2018,GO6805,Mountain Goat,5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2017,2018,GO6806,Mountain Goat,5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2017,2018,GO6807,Mountain Goat,5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2017,2018,GO6808,Mountain Goat,5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2017,2018,GO6809,Mountain Goat,2.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2017,2018,GO6810,Mountain Goat,2.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2017,2018,GO6811,Mountain Goat,2.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2017,2018,GO6812,Mountain Goat,5.4,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2017,2018,GO6813,Mountain Goat,5.4,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2017,2018,GO6814,Mountain Goat,2,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Mt Dutton match.
2017,2018,GO6815,Mountain Goat,5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2017,2018,GO6818,Mountain Goat,5.4,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2017,2018,GO6819,Mountain Goat,5.4,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2017,2018,GO6820,Mountain Goat,5.4,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2017,2018,GO6821,Mountain Goat,3.5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Nebo; multiple related GO codes.
2017,2018,GO6822,Mountain Goat,3.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2018,2019,GO6800,Mountain Goat,5.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2018,2019,GO6801,Mountain Goat,5.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2018,2019,GO6802,Mountain Goat,5.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2018,2019,GO6803,Mountain Goat,5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Nebo; multiple related GO codes.
2018,2019,GO6804,Mountain Goat,6.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF older label Chalk Creek/Kamas; current table used High Uintas Kamas.
2018,2019,GO6805,Mountain Goat,4.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2018,2019,GO6806,Mountain Goat,4.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2018,2019,GO6807,Mountain Goat,4.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2018,2019,GO6808,Mountain Goat,4.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2018,2019,GO6809,Mountain Goat,3.8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2018,2019,GO6810,Mountain Goat,3.8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2018,2019,GO6811,Mountain Goat,3.8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Ogden Willard Peak match.
2018,2019,GO6812,Mountain Goat,6.8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2018,2019,GO6813,Mountain Goat,6.8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2018,2019,GO6814,Mountain Goat,5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct Mt Dutton match.
2018,2019,GO6815,Mountain Goat,4.3,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate North/South Slope repeated to related High Uintas/North Slope codes.
2018,2019,GO6817,Mountain Goat,7,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Direct La Sal Mtns match.
2018,2019,GO6818,Mountain Goat,6.8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2018,2019,GO6819,Mountain Goat,6.8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2018,2019,GO6820,Mountain Goat,6.8,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",medium,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,Aggregate Wasatch row repeated to Wasatch subunit codes.
2018,2019,GO6821,Mountain Goat,5,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Nebo; multiple related GO codes.
2018,2019,GO6822,Mountain Goat,5.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2019,2020,GO6800,Mountain Goat,4.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2019,2020,GO6801,Mountain Goat,4.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
2019,2020,GO6802,Mountain Goat,4.9,,true,"Average age of harvested mountain goats, by management unit, Utah 2015–2024(1).pdf",1,"Average age of harvested mountain goats, by management unit, Utah 2015–2024",high,goat_historical_crosswalked_scope,harvest_2024_for_2025_backfill_package_revised_goat_all_years,90,PDF unit aggregates Beaver; multiple related GO codes.
