evidence_domain,source_dataset,source_path,exists,source_rows,evidence_rows_used,source_size_bytes,headers
harvest_truth,harvest_quality_features_all_years_by_hunt_code,data_truth/harvest_results_truth/normalized/harvest_quality_features_all_years_by_hunt_code.csv,true,5151,5151,1926517,reported_hunt_year | model_target_year | hunt_code | species | sex_type | hunt_name | hunt_type | weapon | permits | hunters_afield | harvest_total | harvest_male | harvest_female | harvest_young | harvest_unknown | percent_success | average_days | hunter_satisfaction | average_age | male_harvest | female_harvest | harvest_objective | source_file | source_page | source_container | source_member | source_kind | source_priority | source_status | parse_status | do_not_use_for_permit_quota | do_not_use_directly_for_p_draw | trend_feature_eligible | data_quality_flags | recommended_use
harvest_truth,harvest_results_all_years_long,data_truth/harvest_results_truth/normalized/harvest_results_all_years_long.csv,true,68657,68657,24881298,reported_hunt_year | model_target_year | hunt_code | species | sex_type | hunt_name | hunt_type | weapon | permits | hunters_afield | harvest_total | harvest_male | harvest_female | harvest_young | harvest_unknown | percent_success | average_days | hunter_satisfaction | average_age | male_harvest | female_harvest | harvest_objective | source_file | source_page | source_container | source_member | source_kind | source_priority | source_status | parse_status | do_not_use_for_permit_quota | do_not_use_directly_for_p_draw | trend_feature_eligible | data_quality_flags | recommended_use
permit_candidate,expo_permit_draw_results_2026_total_only,data_truth/draw_results_truth/normalized/expo_permit_draw_results_2026_total_only.csv,true,125,104,50268,snapshot_utc | hunt_code | boundary_id | mapping_status | species | sex_type | hunt_type | hunt_unit | weapon | season_segment | database_weapon_candidate | database_hunt_name | database_weapon | database_season | permits_2026_total | source_file | source_sheet | source_row | source_text
crosswalk,current_to_historical_hunt_code_crosswalk_2026,processed_data/current_to_historical_hunt_code_crosswalk_2026.csv,true,169,169,170681,current_hunt_code | current_prefix | current_hunt_name | species | sex_type | weapon | hunt_type | season | in_database_2026 | database_permits_2026_res | database_permits_2026_nonres | database_permits_2026_total | overlay_source_files | historical_hunt_code | historical_prefix | candidate_historical_codes | historical_years | relationship_type | crosswalk_status | mapping_confidence | mapping_method | data_quality_grade | backcheck_best_match_method | backcheck_reason_code | backcheck_candidates | full_joined_name_match_codes | full_joined_exact_history_years | full_joined_name_match_years | recommended_model_behavior | source_files | notes
crosswalk,current_to_historical_hunt_code_crosswalk_2026,data_truth/crosswalk_truth/normalized/current_to_historical_hunt_code_crosswalk_2026.csv,true,169,169,170681,current_hunt_code | current_prefix | current_hunt_name | species | sex_type | weapon | hunt_type | season | in_database_2026 | database_permits_2026_res | database_permits_2026_nonres | database_permits_2026_total | overlay_source_files | historical_hunt_code | historical_prefix | candidate_historical_codes | historical_years | relationship_type | crosswalk_status | mapping_confidence | mapping_method | data_quality_grade | backcheck_best_match_method | backcheck_reason_code | backcheck_candidates | full_joined_name_match_codes | full_joined_exact_history_years | full_joined_name_match_years | recommended_model_behavior | source_files | notes
crosswalk,black_bear_BR_2024_2025_2026_crosswalk,data_truth/crosswalk_truth/normalized/black_bear_BR_2024_2025_2026_crosswalk.csv,true,107,107,31475,historical_2024_code | historical_2025_code | current_2026_code | mapping_status | mapping_confidence | hunt_name_2024 | hunt_name_2025 | hunt_name_2026 | hunt_type_2026 | weapon_2026 | permits_2024_res | permits_2024_nr | permits_2024_total | permits_2025_res | permits_2025_nr | permits_2025_total | permits_2026_res | permits_2026_nr | permits_2026_total | source_2024_page | source_2025_page | numeric_comparison_2024_to_2025 | numeric_comparison_2025_to_2026 | review_note
permit_candidate,black_bear_2026_vs_2025_code_comparison,data_truth/permit_overlay_truth/validation/black_bear_2026_vs_2025_code_comparison.csv,true,109,109,15580,hunt_code | source_2026_status | draw_results_2025_status | database_2026_status | hunt_name_2026 | hunt_name_2025 | hunt_type_2026 | hunt_type_2025 | weapon_2026 | weapon_2025
permit_candidate,elk_antlerless_private_lands_EA_2026_promotion_audit,data_truth/permit_overlay_truth/validation/elk_antlerless_private_lands_EA_2026_promotion_audit.csv,true,54,54,16373,file | row_number | hunt_code | hunt_name | field | old_value | new_value | audit_status | source_file | source_sha256
permit_candidate,elk_private_lands_EL_LO_2026_rac_candidate_matches,data_truth/permit_overlay_truth/validation/elk_private_lands_EL_LO_2026_rac_candidate_matches.csv,true,126,126,44317,source_hunt_code | candidate_rac_hunt_code | match_type | source_hunt_name | rac_hunt_name | source_weapon | rac_weapon | rac_permits_2026_res | rac_permits_2026_nr | rac_permits_2026_total | rac_source_file | promotion_status | notes
permit_candidate,dwr_2025_draw_result_permit_comparison,processed_data/model_outputs/dwr_2025_draw_result_permit_comparison.csv,true,11004,11004,1133792,target_file | hunt_code | residency | comparison_field | expected_2025_draw_total | observed_values | status | promotion_blocker
permit_candidate,permits_2025_draw_results_promotion_report,processed_data/permits_2025_draw_results_promotion_report.csv,true,14,0,1120,file | kind | status | rows_checked | matched_hunt_codes | rows_changed | changed_cells
permit_candidate,permits_2025_draw_field_promotion_report,processed_data/permits_2025_draw_field_promotion_report.csv,true,15,0,1173,file | kind | status | rows_checked | matched_hunt_codes | rows_changed | changed_cells
permit_candidate,permits_2026_draw_field_promotion_report,processed_data/permits_2026_draw_field_promotion_report.csv,true,10,0,812,file | status | rows_checked | matched_hunt_codes | rows_changed | changed_cells
comparison,hunt_code_comparison_2025_to_2026,processed_data/hunt_code_comparison_2025_to_2026.csv,true,1411,1411,420574,hunt_code | hunt_name | species | hunt_type | weapon | sex_type | boundary_id | in_2026_database_universe | has_2025_historical_permits | has_2026_current_permits | comparison_status | comparison_confidence | permits_2025_res | permits_2025_nr | permits_2025_total | permits_2025_source | permits_2026_res | permits_2026_nr | permits_2026_total | permits_2026_source | permit_delta_total_exact_or_candidate | permit_delta_basis | mapped_2025_historical_codes | mapped_2025_historical_totals | mapped_2025_historical_total_sum_candidate | crosswalk_status | crosswalk_confidence | crosswalk_method | review_priority | review_reason
comparison,complete_2023_harvest_vs_draw_comparison,processed_data/complete_2023_harvest_vs_draw_comparison.csv,true,1098,1098,1232880,hunt_code | comparison_bucket | in_active_database_2026 | database_species | database_hunt_name | database_hunt_type | harvest_families | harvest_species | harvest_hunt_names | harvest_rows | harvest_files | harvest_permits_sum | harvest_hunters_sum | harvest_sum | harvest_success_percent_mean | harvest_average_days_mean | harvest_satisfaction_mean | draw_species | draw_hunt_names | draw_rows | draw_files | draw_permits_2023_res | draw_permits_2023_nr | draw_permits_2023_total | draw_applicants_2023_res | draw_applicants_2023_nr
