report_cycle,reported_hunt_year,season_year,model_target_year,species,source_family,season,region,area,row_type,n,hunters_afield,male_harvest,female_harvest,unknown_harvest,total_harvest,mean_days_afield,percent_success,permits_sold,hunt_code,hunt_name,source_file,source_page,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_status,source_url_or_citation,source_data_level,applicant_pool_use,year,total_hunters,total_permits,mean_public_days_afield,mean_private_days_afield,turkeys_per_hunter_day,county
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Central,Utah,area,109,177,42,75,2,118,4.5,67.0,,,Utah,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Central,Wasatch,area,26,42,2,6,0,8,7.3,19.2,,,Wasatch,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Central,Unknown,area,7,11,2,3,0,5,9.3,42.9,,,Unknown,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Central,Central Region total,regional_total,229,372,129,183,4,314,7.3,84.4,,,Central Region total,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Southeastern,Southeastern Region,area,30,26,2,11,0,13,3.9,50.0,,,Southeastern Region,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management,Fall management,Southeastern,Southeastern Region total,regional_total,30,26,2,11,0,13,3.9,50.0,,,Southeastern Region total,2024-25 turkey.pdf,3,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,
2024-25,2014,2014,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,208,,74.0,314,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2014,281,,,,,
2024-25,2015,2015,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,363,,60.8,700,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2015,597,,,,,
2024-25,2016,2016,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,822,,47.0,1178,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2016,1750,,,,,
2024-25,2017,2017,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,419,,58.8,881,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2017,713,,,,,
2024-25,2018,2018,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,1678,,60.9,3415,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2018,2756,,,,,
2024-25,2019,2019,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,2963,,58.0,6167,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2019,5113,,,,,
2024-25,2020,2020,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,2964,,50.2,7710,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2020,5904,,,,,
2024-25,2021,2021,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,1652,,47.0,4619,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2021,3517,,,,,
2024-25,2022,2022,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,1255,,59.3,2843,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2022,2116,,,,,
2024-25,2023,2023,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,898,,48.9,2625,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2023,1838,,,,,
2024-25,2024,2024,2026,Wild Turkey,fall_management_statewide_history,Fall management,,,,,,,,,1123,,70.9,2808,,,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2024,1585,,,,,
2024-25,2025,2025,2026,Wild Turkey,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,,,,173,433,,,,228,,52.0,,TK1003,Central region,2024-25 turkey.pdf,5,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,496,3.5,0.5,,
2024-25,2025,2025,2026,Wild Turkey,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,,,,132,198,,,,95,,48.1,,TK1004,Northeastern region,2024-25 turkey.pdf,5,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,247,2.5,1.7,,
2024-25,2025,2025,2026,Wild Turkey,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,,,,169,460,,,,252,,55.6,,TK1005,Northern region,2024-25 turkey.pdf,5,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,547,2.3,0.8,,
2024-25,2025,2025,2026,Wild Turkey,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,,,,114,168,,,,98,,57.7,,TK1006,Southeastern region,2024-25 turkey.pdf,5,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,199,2.8,0.5,,
2024-25,2025,2025,2026,Wild Turkey,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,,,,215,531,,,,283,,52.9,,TK1007,Southern region,2024-25 turkey.pdf,5,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,615,2.8,0.5,,
2024-25,2025,2025,2026,Wild Turkey,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,,,,7,11,,,,9,,85.7,,TK1018,Pahvant Ensign CWMU,2024-25 turkey.pdf,5,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,11,,2.9,,
2024-25,2025,2025,2026,Wild Turkey,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,,,,6,7,,,,1,,16.7,,TK1021,East Zion CWMU,2024-25 turkey.pdf,5,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,7,,3.2,,
2024-25,1991,1991,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,70,,12.7,607,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,1991,550,,,,0.0,
2024-25,1992,1992,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,68,,13.5,559,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,1992,504,,,,0.0,
2024-25,1993,1993,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,100,,19.7,542,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,1993,507,,,,0.1,
2024-25,1994,1994,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,136,,34.9,440,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,1994,390,,,,0.1,
2024-25,1995,1995,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,143,,34.9,470,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,1995,410,,,,0.1,
2024-25,1996,1996,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,191,,39.3,529,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,1996,486,,,,0.1,
2024-25,1997,1997,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,208,,36.6,602,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,1997,568,,,,0.1,
2024-25,1998,1998,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,256,,45.5,621,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,1998,563,,,,0.1,
2024-25,1999,1999,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,300,,40.5,753,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,1999,740,,,,0.1,
2024-25,2000,2000,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,699,,69.1,1062,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2000,1011,,,,0.2,
2024-25,2001,2001,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,891,,67.7,1381,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2001,1317,,,,0.2,
2024-25,2002,2002,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,785,,52.4,1641,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2002,1498,,,,0.1,
2024-25,2003,2003,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,708,,49.6,1528,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2003,1427,,,,0.1,
2024-25,2004,2004,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,691,,54.0,1372,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2004,1279,,,,0.1,
2024-25,2005,2005,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,953,,57.5,1996,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2005,1656,,,,0.1,
2024-25,2006,2006,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,1396,,57.5,2664,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2006,2429,,,,0.1,
2024-25,2007,2007,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,1600,,57.2,3017,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2007,2799,,,,0.1,
2024-25,2008,2008,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,2374,,34.8,7858,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2008,6831,,,,0.1,
2024-25,2009,2009,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,2770,,26.0,13608,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2009,11138,,,,0.0,
2024-25,2010,2010,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,925,,35.0,3055,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2010,2640,,,,,
2024-25,2011,2011,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,865,,32.9,3104,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2011,2629,,,,,
2024-25,2012,2012,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,824,,31.8,3035,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2012,2594,,,,,
2024-25,2013,2013,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,1054,,41.1,3068,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2013,2566,,,,,
2024-25,2014,2014,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,1155,,43.4,3081,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2014,2661,,,,,
2024-25,2015,2015,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,1476,,50.6,3517,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2015,2918,,,,,
2024-25,2016,2016,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,1583,,43.9,4143,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2016,3602,,,,,
2024-25,2017,2017,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,1552,,38.9,4538,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2017,3991,,,,,
2024-25,2018,2018,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,1289,,41.5,3769,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2018,3105,,,,,
2024-25,2019,2019,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,858,,39.6,2710,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2019,2164,,,,,
2024-25,2020,2020,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,724,,58.6,1368,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2020,1235,,,,,
2024-25,2021,2021,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,933,,40.2,2773,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2021,2323,,,,,
2024-25,2022,2022,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,749,,45.8,1951,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2022,1634,,,,,
2024-25,2023,2023,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,469,,36.2,1711,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2023,1296,,,,,
2024-25,2024,2024,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,635,,50.4,1497,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2024,1259,,,,,
2024-25,2025,2025,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,,,,,,,,,966,,53.5,2122,,,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,2025,1805,,,,,
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northern,,county,8,37,,,,14,,37.5,,,Box Elder,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.9,1.3,,Box Elder
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northern,,county,17,79,,,,9,,11.8,,,Cache,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.6,0.9,,Cache
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northern,,county,7,33,,,,0,,0.0,,,Davis,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.7,0.0,,Davis
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northern,,county,5,23,,,,5,,20.0,,,Morgan,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,0.2,1.8,,Morgan
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northern,,county,0,0,,,,,,,,,Rich,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,,,,Rich
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northern,,county,4,19,,,,5,,25.0,,,Summit,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.0,0.5,,Summit
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northern,,county,18,84,,,,14,,16.7,,,Weber,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.5,1.0,,Weber
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northern,,regional_total,59,275,,,,47,,17.1,,,Northern Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.5,0.9,,Northern Region total
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,12,56,,,,14,,25.0,,,Juab,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.2,0.1,,Juab
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,5,23,,,,0,,0.0,,,Salt Lake,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.8,0.0,,Salt Lake
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,16,74,,,,28,,37.5,,,Sanpete,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.3,0.6,,Sanpete
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,12,56,,,,19,,33.3,,,Tooele,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.9,0.2,,Tooele
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,40,186,,,,37,,20.0,,,Utah,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.6,0.5,,Utah
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,county,16,74,,,,23,,31.3,,,Wasatch,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.7,0.7,,Wasatch
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Central,,regional_total,101,469,,,,121,,25.8,,,Central Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.7,0.4,,Central Region total
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,10,46,,,,14,,30.0,,,Beaver,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.5,0.5,,Beaver
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,3,14,,,,9,,66.7,,,Garfield,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.7,0.0,,Garfield
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,10,46,,,,9,,20.0,,,Iron,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.0,0.2,,Iron
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,3,14,,,,14,,100.0,,,Kane,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.0,1.3,,Kane
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,9,42,,,,23,,55.6,,,Millard,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.4,0.0,,Millard
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,1,5,,,,0,,0.0,,,Piute,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.0,0.0,,Piute
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,14,65,,,,9,,14.3,,,Sevier,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,2.1,0.1,,Sevier
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,18,84,,,,33,,38.9,,,Washington,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.7,0.8,,Washington
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,county,3,14,,,,5,,33.3,,,Wayne,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.3,0.7,,Wayne
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,,regional_total,71,330,,,,116,,35.2,,,Southern Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only,,,,1.9,0.4,,Southern Region total
