source_file,check_id,guidebook_page,match_type,expected_text,status,matched_pdf_page_number,matched_printed_page,matched_line_number_on_pdf_page,matched_line_text,source_note
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,permit_fees,15,contains,Deer permit fees,PASS,15,15,20,"Deer permit fees CWMU $413 $2,200",user pasted fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,basic_requirements,16,contains,BASIC REQUIREMENTS,PASS,16,16,9,BASIC REQUIREMENTS,user pasted requirements
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,carry_permit,17,contains,Carry your permit,PASS,17,17,51,Carry your permit,user pasted carry permit
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,prepare_to_apply,18,contains,PREPARE TO APPLY,PASS,18,18,9,PREPARE TO APPLY,user pasted prepare block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,drawing_order,19,contains,Understand the drawing,PASS,19,19,15,for are listed in the tables that begin on page Understand the drawing,user pasted drawing order
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,bonus_points,20,contains,Why bonus points,PASS,20,20,20,Why bonus points,user pasted bonus points
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,preference_points,21,contains,Why preference,PASS,21,21,14,Why preference,user pasted preference points
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,waiting_periods,22,contains,Waiting periods,PASS,22,22,9,Are you eligible to Waiting periods,user pasted waiting periods
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,three_elk_permits,23,contains,Obtain up to three elk,PASS,23,23,9,Obtain up to three elk,user pasted elk permits
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,mandatory_reporting,24,contains,Mandatory reporting,PASS,24,24,26,Mandatory reporting,user pasted reporting
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,early_deer_hunts,25,contains,Early general-season buck,PASS,25,25,14,Early general-season buck,user pasted early deer
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,hams_deer,26,contains,Handgun-archery,PASS,26,26,9,Handgun-archery- Important: If you are successful in,user pasted HAMS block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,apply_for_permits,28,contains,APPLY FOR BIG GAME PERMITS,PASS,28,28,9,APPLY FOR BIG GAME PERMITS,user pasted apply block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,after_you_apply,30,contains,AFTER YOU APPLY,PASS,30,30,9,AFTER YOU APPLY,user pasted after apply
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,lifetime_license,32,contains,Lifetime license,PASS,32,32,10,Lifetime license,user pasted lifetime license
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,dedicated_hunter,33,contains,DEDICATED HUNTER PROGRAM,PASS,33,33,8,DEDICATED HUNTER PROGRAM,user pasted DH block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,youth_deer_seasons,34,contains,YOUTH DEER,PASS,34,34,10,"In 2023, there are many options for youth who want to hunt big game.",user pasted youth table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,youth_elk_seasons,35,contains,YOUTH ELK SEASONS,PASS,35,35,8,General-season youth season (over-the-counter) elk hunts. See the,user pasted youth table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,general_deer_table,42,contains,Beaver DB1500 Aug. 19-Sept. 15,PASS,42,42,18,Beaver DB1500 Aug. 19-Sept. 15,user pasted deer table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,limited_deer_table,48,contains,Henry Mtns DB1000,PASS,48,48,18,Henry Mtns DB1000 Aug. 19-Sept. 15,user pasted premium deer table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,management_buck,49,contains,Paunsaugunt (archery) DB1073,PASS,49,49,17,Paunsaugunt (archery) DB1073 Aug. 26-Sept. 15,user pasted management table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,hams_hunt_codes,52,contains,"Book Cliffs, Floy Canyon DB1090",PASS,52,52,28,Book Cliffs DB1044 All Limited Entry Seasons,user pasted HAMS table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,draw_only_youth_elk_code,53,contains,Draw-only youth any bull,PASS,53,53,12,Draw-only youth any bull/hunter's choice elk hunt,user pasted elk table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,late_archery_elk_table,54,contains,"Beaver, East EB3158 Dec. 2-Dec. 17",PASS,54,54,23,"Beaver, East EB3158 Dec. 2-Dec. 17",user pasted elk table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,midseason_elk,56,contains,"Beaver, East (new) EB3159 Oct. 7-Oct. 19",PASS,56,56,16,"Beaver, East (new) EB3159 Oct. 7-Oct. 19",user pasted elk table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,multi_season_elk,59,contains,"Beaver, East EB3102 Limited Entry Seasons",PASS,59,59,18,"Beaver, East EB3102 Limited Entry Seasons",user pasted elk table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,hams_elk,60,contains,"Cache, North EB3139 Nov. 11-Nov. 30",PASS,60,60,17,"Cache, North EB3139 Nov. 11-Nov. 30",user pasted HAMS elk
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,pronghorn_archery,60,contains,Beaver PB5000 Aug. 19-Sept. 15,PASS,60,60,26,Beaver PB5000 Aug. 19-Sept. 15,user pasted pronghorn table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,pronghorn_rifle,62,contains,Beaver PB5025 Sept. 16-Sept. 24,PASS,62,62,16,Beaver PB5025 Sept. 16-Sept. 24,user pasted pronghorn table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,moose_table,63,contains,Cache MB6000 Sept. 16-Oct. 19,PASS,63,63,23,Cache MB6000 Sept. 16-Oct. 19,user pasted moose table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,bison_table,64,contains,Antelope Island BI6500 Dec. 4-Dec. 6,PASS,64,64,14,"Permit fee (except Antelope Island): Resident $413, Nonresident $2,200",user pasted bison table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,desert_bighorn,65,contains,Henry Mtns DS6600 Sept. 16-Nov. 10,PASS,65,65,16,Henry Mtns DS6600 Sept. 16-Nov. 10,user pasted bighorn table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,rocky_bighorn,66,contains,"Book Cliffs, South RS6701 Nov. 1-Nov. 30",PASS,66,66,18,"Book Cliffs, South RS6701 Nov. 1-Nov. 30",user pasted bighorn table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,mountain_goat,67,contains,Beaver GO6800 Sept. 9-Oct. 1,PASS,67,67,16,Beaver GO6800 Sept. 9-Oct. 1,user pasted goat table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,cwmu_premium,68,contains,Alton DB1200 Kane 3,PASS,68,68,40,Alton DB1200 Kane 3,user pasted CWMU table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,cwmu_buck_deer,69,contains,Antelope Creek DB1202 Duchesne 1,PASS,69,69,18,Antelope Creek DB1202 Duchesne 1,user pasted CWMU table
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,cwmu_bull_elk,73,contains,Alton EB3500 Kane 2,PASS,73,73,18,Alton EB3500 Kane 2,user pasted CWMU elk
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,cwmu_pronghorn,76,contains,Allen Ranch PB5325 Utah 2,PASS,76,76,17,Allen Ranch PB5325 Utah 2,user pasted CWMU pronghorn
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,cwmu_moose,77,contains,Causey Spring MB6202 Weber 1,PASS,77,77,16,Causey Spring MB6202 Weber 1,user pasted CWMU moose
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,definitions,78,contains,DEFINITIONS,PASS,78,78,9,DEFINITIONS,user pasted definitions
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,hams_definition,78,contains,Handgun-archery-muzzleloader,PASS,78,78,46,Bull moose means a moose with antlers Handgun-archery-muzzleloader-,user pasted definitions
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,resident_definition,79,contains,Resident means a person who has a,PASS,79,79,8,Hunting mentor means a resident or permits and limited-entry landowner permits.,user pasted definitions
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,trail_camera_definition,80,contains,Trail camera means a device,PASS,80,80,29,Trail camera means a device that is not held,user pasted definitions
