source_file,check_id,guidebook_page,match_type,expected_text,status,matched_pdf_page_number,matched_printed_page,matched_line_number_on_pdf_page,matched_line_text,source_note
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,sportsman_permit_window,13,contains,"run from Oct. 18 to Nov. 8, 2023",PASS,13,13,21,"days from the date of purchase. You also have game permits, if available",user pasted sportsman permit block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,antlerless_apply_june_7,14,contains,"Starting June 7, 2023",PASS,14,14,50,"Starting June 7, 2023, you can visit wildlife.",user pasted antlerless application block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,antlerless_results_july_7,14,contains,July 7: Antlerless drawing results,PASS,14,14,47,July 7: Antlerless drawing results,user pasted antlerless application block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,permit_sales_july_11,15,contains,July 11: General-season archery elk,PASS,15,15,10,Some big game permits for the 2023 July 11 is also the date that over-the-,user pasted permit sales
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,three_elk_permits,16,contains,A hunter can obtain up to three elk,PASS,16,16,12,A hunter can obtain up to three elk General-season bull elk permits will be,user pasted elk permit rules
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,definition_of_youth,17,contains,Definition of youth,PASS,17,17,10,Definition of youth obtain written permission before you can use,user pasted youth definition
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,youth_elk_seasons,18,contains,YOUTH ELK SEASONS,PASS,18,18,9,Which seasons can youth hunt?,user pasted youth tables
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,youth_deer_seasons,18,contains,YOUTH DEER,PASS,18,18,9,Which seasons can youth hunt?,user pasted youth tables
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,young_hunter_opportunities,19,contains,OPPORTUNITIES FOR YOUNG HUNTERS,PASS,19,19,9,OPPORTUNITIES FOR YOUNG HUNTERS,user pasted young hunters block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,cwd_positive_counts,20,contains,194 mule deer and,PASS,20,20,23,"since 1998. In that time, 194 mule deer and",user pasted CWD block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,trail_camera_public_land_dates,21,contains,All trail cameras are prohibited on,PASS,21,21,9,Changes to trail camera include non-governmental organiza-,user pasted trail camera rules
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,big_game_hunts_heading,22,contains,BIG GAME HUNTS,PASS,22,22,9,BIG GAME HUNTS,user pasted big game hunts block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,mandatory_reporting_heading,23,contains,Mandatory reporting,PASS,23,23,41,Mandatory reporting Attention limited-entry archers:,user pasted reporting block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,hamss_deer_units,24,contains,"Book Cliffs, Floy Canyon",PASS,24,24,39,"season units are managed for. Book Cliffs, Floy Canyon; Nov. 11-26",user pasted HAMSS deer block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,straight_walled_rifle,25,contains,Straight-walled rifle (new),PASS,25,25,40,24 inches in overall length. Straight-walled rifle (new),user pasted HAMSS weapon block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,cactus_buck,26,contains,Obtaining and using a cactus buck,PASS,26,26,9,Management and cactus Obtaining and using a cactus buck,user pasted cactus buck block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,bull_elk_hunting,27,contains,Bull elk hunting,PASS,27,27,9,Bull elk hunting,user pasted elk block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,multi_season_spike_elk,29,contains,Multi-season general spike,PASS,29,29,18,Multi-season general spike,user pasted spike elk block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,collared_wildlife,30,contains,Avoid harvesting,PASS,30,30,42,Avoid harvesting,user pasted collared wildlife block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,buck_pronghorn,32,contains,Buck pronghorn,PASS,32,32,13,harvest survey within 30 days of the final day of used during the buck pronghorn archery hunt.,user pasted pronghorn block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,bison_hunting,33,contains,Bison hunting,PASS,33,33,10,"All of Utah's bison, bull moose, bighorn sheep and mountain goat permits are considered",user pasted bison block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,antlerless_reporting,34,contains,Mandatory reporting,PASS,34,34,10,Mandatory reporting,user pasted antlerless reporting block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,military_points,35,contains,Points options for,PASS,35,35,10,Points options for,user pasted military block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,mountain_goat,36,contains,Mountain goat,PASS,36,36,9,Mountain goat,user pasted mountain goat block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,antlerless_hunts_heading,37,contains,ANTLERLESS HUNTS,PASS,37,37,9,ANTLERLESS HUNTS,user pasted antlerless block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,antlerless_elk_printed_dates_rule,39,contains,Antlerless elk permits may be used only during,PASS,39,39,29,pronghorn permit through the antlerless,user pasted antlerless elk block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,permit_surrender,41,contains,"PERMIT SURRENDERS, REFUNDS AND EXCHANGES",PASS,41,41,9,"PERMIT SURRENDERS, REFUNDS AND",user pasted surrender block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,cwmu_heading,43,contains,COOPERATIVE WILDLIFE MANAGEMENT UNITS,PASS,43,43,9,COOPERATIVE WILDLIFE,user pasted CWMU block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,cwmu_archery_dates,44,contains,Archery hunts for buck,PASS,44,44,43,"Archery hunts for buck Aug. 19-Oct. 31,",user pasted CWMU dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,field_regulations_heading,45,contains,FIELD REGULATIONS,PASS,45,45,6,Field,user pasted field regs block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,prohibited_weapons,45,contains,Prohibited weapons,PASS,45,45,53,orange is otherwise required by the Prohibited weapons,user pasted weapon rules
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,muzzleloader_requirements,47,contains,Muzzleloaders may be used during any,PASS,47,47,17,Muzzleloaders,user pasted muzzleloader rules
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,archery_equipment,48,contains,Archery equipment,PASS,48,48,11,authorized in this section to take the species archery season:,user pasted archery rules
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,walk_in_access,49,contains,Utah's Walk-in Access,PASS,49,49,10,Utah's Walk-in Access You are 18 years of age or older.,user pasted WIA block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,national_parks_closed,50,contains,All of Utah's national parks and monu-,PASS,50,50,65,"Otherwise, all of Utah's other waterfowl",user pasted parks block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,salt_lake_county,51,contains,muzzleloader south of I-80 and east of,PASS,51,51,42,or muzzleloader. This area is restricted to,user pasted Salt Lake County block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,trespassing,52,contains,Trespassing,PASS,52,52,47,Trespassing open to the public as provided by Utah Code,user pasted trespassing block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,no_drones,52,contains,No drones allowed,PASS,52,52,27,No drones allowed,user pasted no drones block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,night_vision_rule,53,contains,You may not use any type,PASS,53,53,22,New this year: You may not use any type,user pasted night vision block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,trail_cameras,54,contains,Trail cameras,PASS,54,54,9,Technology (new this year) from any trail camera (or non-handheld,user pasted trail cameras block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,tagging_requirements,55,contains,Tagging requirements,PASS,55,55,9,"Hunters who are transported by aircraft Tagging, transporting",user pasted tagging block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,transporting_big_game,56,contains,Transporting big game,PASS,56,56,17,Transporting big game,user pasted transport block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,waste_of_game,57,contains,Waste of game,PASS,57,57,57,Waste of game you may purchase or receive protected,user pasted waste block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,shed_antlers,58,contains,Possession of antlers,PASS,58,58,9,Possession of antlers visiting wildlife.utah.gov and completing an,user pasted antlers block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,definitions_heading,68,contains,DEFINITIONS,PASS,68,68,9,DEFINITIONS,user pasted definitions
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,definition_baited_area,68,contains,Baited area means all land within a 50-yard,PASS,68,68,45,Baited area means all land within a 50-yard to return; and,user pasted definitions
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,definition_hamss,69,contains,Handgun-archery-muzzleloader-,PASS,69,69,24,Handgun-archery-muzzleloader-,user pasted definitions
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,definition_resident,70,contains,Resident means a person who has a,PASS,70,70,11,has been secured. A Utah resident license or permit is invalid,user pasted definitions
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,definition_youth,71,contains,Youth means someone who is 17 years old or,PASS,71,71,18,of being used as a means of transportation on Youth means someone who is 17 years old or,user pasted definitions
