source_file,check_id,guidebook_page,match_type,expected_text,status,matched_pdf_page_number,matched_printed_page,matched_line_number_on_pdf_page,matched_line_text,source_note
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,aircraft_july_jan_dates,32,contains,between July 31 and Jan.,PASS,32,32,59,vehicle or device-between July 31 and Jan. Utah Code § 23A-4-201 and Utah Admin. Rule R657-5-15,user pasted aircraft rules
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,donation_sentence_absent,33,absent,you may not donate big game in the field,PASS,,,,,post-publication correction pasted by user
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,bring_big_game_skulls,34,contains,Skulls with antlers attached (new),PASS,34,34,51,Skulls with antlers attached (new),user pasted importation update
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,wma_license_four_counties,36,contains,New this year: Anyone 18 years old,PASS,36,36,9,There is one exception to this rule: scouting,user pasted WMA license block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,restricted_muzzleloader_correct_date,38,contains,Restricted muzzleloader deer hunts,PASS,38,38,9,General-season muzzle- General-season restricted,post-publication correction pasted by user
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,restricted_rifle_correct_date,38,contains,"deer from Oct. 18-26, 2025",PASS,38,38,10,loader buck deer hunt weapons hunts (new),post-publication correction pasted by user
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,hamss_elk_east_canyon_date,45,contains,"East Canyon (new, Dec. 20-28)",PASS,45,45,22,not hunt until you are at least 12 years old. permit holder to hunt bull elk during all three,user pasted elk HAMSS block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,nine_mile_bison_sale_date,49,contains,Permits will be available for purchase start-,PASS,49,49,14,Permits will be available for purchase start- private hunters. You may not hunt on a bull,user pasted bison block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,antlerless_hunts_heading,52,contains,ANTLERLESS HUNTS,PASS,52,52,9,ANTLERLESS HUNTS,user pasted antlerless block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,antlerless_elk_printed_dates_rule,53,contains,Important: Antlerless elk permits may be,PASS,53,53,18,Important: Antlerless elk permits may be gov/antlerless. These tools and resources,user pasted antlerless elk block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,hunter_mentoring_program,55,contains,The Utah Hunter Mentoring Program,PASS,55,55,3,UTAH,user pasted mentoring block
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,cwmu_hunt_dates,59,contains,Archery hunts for buck Aug. 16-Oct. 31,PASS,59,59,50,"Archery hunts for buck Aug. 16-Oct. 31,",user pasted CWMU dates
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,definition_baited_area,68,contains,Baited area means all land within a 50-yard,PASS,64,68,45,Baited area means all land within a 50-yard,user pasted definitions
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,definition_hamss,69,contains,Handgun-archery-muzzleloader-shotgun-,PASS,65,69,16,Handgun-archery-muzzleloader-shotgun-,user pasted definitions
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,restricted_muzzleloader_clarification,70,contains,meets all requirements for muzzleloaders,PASS,66,70,28,meets all requirements for muzzleloaders,post-publication update pasted by user
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,definition_youth,71,contains,Youth means someone who is 17 years old or,PASS,67,71,23,Trail camera means a device that is not held Youth means someone who is 17 years old or,user pasted definitions
pipeline/RAW/hunt_unit_database/2025/pdf/regulation/field_regs 2025.pdf,removed_archery_field_possession_absent,,absent,"You may not possess or be in control of a rifle, shotgun, airgun, muzzleloader, crossbow or draw-lock while in the field during an archery hunt",PASS,,,,,post-publication correction pasted by user
