current_hunt_code,current_hunt_name,current_species,current_hunt_type,current_weapon,current_2026_total,comparison_status,guidebook_match_status,guidebook_candidate_codes,guidebook_candidate_pages,guidebook_candidate_names,guidebook_candidate_lines,match_method,review_priority,review_reason
LO0011,Diamond Mtn Landowner Association,Elk,Limited Entry - Private Land Only,Archery,16,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
LO0015,Diamond Mtn Landowner Association,Elk,Limited Entry - Private Land Only,Any Legal Weapon,16,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2013,"Wasatch Mtns, Currant Creek",Elk,Private Lands Only,Any Legal Weapon,2000,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2003,East Canyon,Elk,Private Lands Only,Any Legal Weapon,500,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3205,57,East Canyon (new),East Canyon (new) EB3205 Dec. 20–Dec 28,same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
EA2029,"Nine Mile, Range Creek",Elk,Private Lands Only,Any Legal Weapon,150,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
DS6605,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Conservation,Any Legal Weapon,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,DS6621,62,"Pine Valley, Beaver Dam","Pine Valley, Beaver Dam DS6621 Oct. 25–Dec. 26",same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
MB6265,Little Pole Canyon CWMU,Moose,CWMU,Any Legal Weapon,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
MB6201,Beaver Hollow CWMU,Moose,CWMU,Any Legal Weapon,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
LO1531,Box Elder,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1531,41,Box Elder,Box Elder DB1531 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1631,Box Elder,Deer,General Season - Private Land Only,Any Legal Weapon (Early),1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1631,40,Box Elder (new),Box Elder (new) DB1631 Oct. 8–Oct. 12,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1544,Ogden,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1544,41,Ogden,Ogden DB1544 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
EA2040,Kamas,Elk,Private Lands Only,Any Legal Weapon,150,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
LO1538,Kamas,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1538,41,Kamas,Kamas DB1538 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1592,Kamas,Deer,General Season - Private Land Only,Any Legal Weapon (Early),1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1592,40,Kamas,Kamas DB1592 Oct. 8–Oct. 12,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
EA2006,Yellowstone,Elk,Private Lands Only,Any Legal Weapon,2000,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2028,Vernal/Bonanza,Elk,Private Lands Only,Any Legal Weapon,450,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
LO1542,Nine Mile,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1542,41,Nine Mile,Nine Mile DB1542 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1593,Nine Mile,Deer,General Season - Private Land Only,Any Legal Weapon (Early),1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1593,40,Nine Mile,Nine Mile DB1593 Oct. 8–Oct. 12,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
EA2016,Nebo,Elk,Private Lands Only,Any Legal Weapon,325,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
LO1534,Nebo,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1534,41,Nebo,Nebo DB1534 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
BR7022,La Sal Mtns,Black Bear,Limited Entry - Spring,Any Legal Weapon,43,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
BR7127,La Sal Mtns,Black Bear,Limited Entry - Summer,Any Legal Weapon,27,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
BR7239,La Sal Mtns,Black Bear,Limited Entry - Fall,Any Legal Weapon,6,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
BR7326,La Sal Mtns,Black Bear,Limited Entry - Multiseason,Multiseason,14,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2009,La Sal Mtns,Elk,Private Lands Only,Any Legal Weapon,70,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2012,"Wasatch Mtns, West-Central",Elk,Private Lands Only,Any Legal Weapon,500,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
LO1540,Monroe,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1540,41,Monroe,Monroe DB1540 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
EA2017,Mt Dutton,Elk,Private Lands Only,Any Legal Weapon,75,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3011|EB3186|EB3049|EB3187|EB3050|EB3089|EB3113,50|51|52|53|54|55|56,Mt Dutton,Mt Dutton EB3011 Aug. 16–Sept. 16|Mt Dutton EB3186 Nov. 29–Dec. 14|Mt Dutton EB3049 Sept. 17–Sept. 21|Mt Dutton EB3187 Oct. 4–Oct. 16|Mt Dutton EB3050 Nov. 8–Nov. 16|Mt Dutton EB3089 Sept. 22–Oct. 3|Mt Dutton EB3113 Limited-entry seasons,same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
LO1541,Mt Dutton,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1541,41,Mt Dutton,Mt Dutton DB1541 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
DB1109,Thousand Lakes,Deer,Limited Entry,Restricted Multiseason,2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,EXACT_CURRENT_CODE_IN_2025_GUIDEBOOK,DB1109,49,Thousand Lakes (new),Thousand Lakes (new) DB1109 All limited-entry seasons,exact_code,NONE,Current code appears exactly in the 2025 guidebook.
LO1549,Fishlake,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1549,41,Fishlake,Fishlake DB1549 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1596,Fishlake,Deer,General Season - Private Land Only,Any Legal Weapon (Early),1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1596,40,Fishlake,Fishlake DB1596 Oct. 8–Oct. 12,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
EA2018,Panguitch Lake,Elk,Private Lands Only,Any Legal Weapon,75,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3015|EB3188|EB3056|EB3189|EB3057|EB3093|EB3117,50|51|52|53|54|55|56,Panguitch Lake,Panguitch Lake EB3015 Aug. 16–Sept. 16|Panguitch Lake EB3188 Nov. 29–Dec. 14|Panguitch Lake EB3056 Sept. 17–Sept. 21|Panguitch Lake EB3189 Oct. 4–Oct. 16|Panguitch Lake EB3057 Nov. 8–Nov. 16|Panguitch Lake EB3093 Sept. 22–Oct. 3|Panguitch Lake EB3117 Limited-entry seasons,same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
EA2020,Zion,Elk,Private Lands Only,Any Legal Weapon,320,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
LO1559,Zion,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1559,41,Zion,Zion DB1559 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1597,Zion,Deer,General Season - Private Land Only,Any Legal Weapon (Early),1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1597,40,Zion,Zion DB1597 Oct. 8–Oct. 12,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1547,Pine Valley,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1547,41,Pine Valley,Pine Valley DB1547 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1595,Pine Valley,Deer,General Season - Private Land Only,Any Legal Weapon (Early),1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1595,40,Pine Valley,Pine Valley DB1595 Oct. 8–Oct. 12,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
BR7307,La Sal,Black Bear,Multiseason - Conservation,Multiseason,,HISTORICAL_2025_CODE_PRESENT_BUT_NO_2026_PERMIT_VALUE,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EA2021,"Beaver, East",Elk,Private Lands Only,Any Legal Weapon,30,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3000|EB3158|EB3024|EB3159|EB3025|EB3077|EB3102,50|51|52|53|54|55|56,"Beaver, East","Beaver, East EB3000 Aug. 16–Sept. 16|Beaver, East EB3158 Nov. 29–Dec. 14|Beaver, East EB3024 Sept. 17–Sept. 21|Beaver, East EB3159 Oct. 4–Oct. 16|Beaver, East EB3025 Nov. 8–Nov. 16|Beaver, East EB3077 Sept. 22–Oct. 3|Beaver, East EB3102 Limited-entry seasons",same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
EA2010,San Juan,Elk,Private Lands Only,Any Legal Weapon,50,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
LO1536,Fillmore,Deer,General Season - Private Land Only,Any Legal Weapon (Late),2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1536,41,Fillmore,Fillmore DB1536 Oct. 18–Oct. 26,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
LO1591,Fillmore,Deer,General Season - Private Land Only,Any Legal Weapon (Early),1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,PREFIX_SWAP_CODE_IN_2025_GUIDEBOOK,DB1591,40,Fillmore,Fillmore DB1591 Oct. 8–Oct. 12,LO_to_DB_same_number,MEDIUM,A same-number prefix-swap code appears in the 2025 guidebook; review before promotion.
EA2014,"Wasatch Mtns, Avintaquin-White River",Elk,Private Lands Only,Any Legal Weapon,400,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB3128,"Box Elder, Grouse Creek",Elk,Conservation,Multiseason,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,NAME_SPECIES_CANDIDATES_IN_2025_GUIDEBOOK,EB3147|EB3150|EB3153,52|53|55,"Box Elder, Grouse Creek","Box Elder, Grouse Creek EB3147 Sept. 17–Sept. 21|Box Elder, Grouse Creek EB3150 Oct. 4–Oct. 16|Box Elder, Grouse Creek EB3153 Sept. 22–Oct. 3",same_species_normalized_name,MEDIUM,Same species and normalized hunt name found in the 2025 guidebook; candidate evidence only.
EA2046,"Box Elder, Sawtooth",Elk,Private Lands Only,Any Legal Weapon,50,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
TK1020,Central Region - Private land only,Turkey,Fall Management,Any Legal Weapon,800,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
DB1351,The Dirty Dozen,Deer,CWMU,Any Legal Weapon,2,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB3620,The Dirty Dozen,Elk,CWMU,Any Legal Weapon,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB1012,Uinta Basin Private Lands Any Bull Elk,Elk,General Season - Any Bull,Any Legal Weapon,500,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
DB0007,Buck Deer - Statewide Permit,Deer,Statewide,Any Legal Weapon,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
DS1000,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Statewide,Any Legal Weapon,1,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB1000,Elk - Statewide Permit,Elk,Statewide,Any Legal Weapon,15,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB1001,Any Bull Elk Units,Elk,General Season - Any Bull,Any Legal Weapon,10,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB1002,Any Bull Elk Units,Elk,General Season - Any Bull,Muzzleloader,6,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB1003,Spike Only Units,Elk,General Season - Spike Bull,Any Legal Weapon,16,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB1004,Spike Only Units,Elk,General Season - Spike Bull,Muzzleloader,6,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
EB1005,Archery Hunters Choice Elk,Elk,General Season - Archery,Archery,16,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,GUIDEBOOK_NO_CODE_FOUND,,,,,none,HIGH,No code evidence found in the 2025 Big Game Application Guidebook.
