hunt_code,hunt_name,weapon,hunt_type,season_dates_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res_allotted,permits_2026_nr_allotted,permits_2026_total_allotted,database_2026_res,database_2026_nr,database_2026_total,runtime_2026_res,runtime_2026_nr,runtime_2026_total,database_delta_res,database_delta_nr,database_delta_total,runtime_delta_res,runtime_delta_nr,runtime_delta_total,database_status,runtime_status,significant_database_difference,significant_runtime_difference,source_document,source_note
EA1090,Diamond Mtn,Any Legal Weapon,General Season,Nov 14 2026 - Nov 22 2026,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1037,Dolores Triangle,Any Legal Weapon,General Season,Dec 12 2026 - Jan 31 2027,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1236,East Canyon,Any Legal Weapon,General Season,Dec 01 2026 - Jan 11 2027,135,15,150,135,15,150,135,15,150,135,15,150,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1272,"East Canyon, East",Any Legal Weapon,General Season,Dec 01 2026 - Jan 31 2027,135,15,150,135,15,150,135,15,150,135,15,150,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1209,"Fillmore, Oak Creek LE",Any Legal Weapon,General Season,Nov 14 2026 - Jan 29 2027,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1030,"Fillmore, Pahvant",Any Legal Weapon,General Season,Nov 14 2026 - Dec 05 2026,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1031,"Fillmore, Pahvant",Any Legal Weapon,General Season,Dec 12 2026 - Jan 29 2027,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1078,Fishlake/Thousand Lakes,Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,243,27,270,243,27,270,243,27,270,243,27,270,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1079,Fishlake/Thousand Lakes East,Any Legal Weapon,General Season,Nov 21 2026 - Dec 30 2026,58,7,65,58,7,65,58,7,65,58,7,65,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1080,Fishlake/Thousand Lakes West,Any Legal Weapon,General Season,Nov 21 2026 - Dec 30 2026,54,6,60,54,6,60,54,6,60,54,6,60,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1033,Kamas,Any Legal Weapon,General Season,Nov 07 2026 - Jan 17 2027,112,13,125,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA2033,Kamas,Archery,General Season,Aug 15 2026 - Sept 16 2026,225,25,250,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1035,"Kamas, Oakley",Any Legal Weapon,General Season,Nov 07 2026 - Dec 30 2026,112,13,125,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1038,La Sal Mtns,Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,180,20,200,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1039,La Sal Mtns,Any Legal Weapon,General Season,Nov 19 2026 - Dec 31 2026,135,15,150,135,15,150,135,15,150,135,15,150,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1237,"La Sal Mtns, North",Any Legal Weapon,General Season,Nov 19 2026 - Dec 31 2026,157,18,175,157,18,175,157,18,175,157,18,175,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1013,"Manti, Central",Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,63,7,70,63,7,70,63,7,70,63,7,70,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1015,"Manti, Ferron Canyon",Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,63,7,70,63,7,70,63,7,70,63,7,70,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1288,"Manti, Ferron Lower Escarpment",Any Legal Weapon,General Season,Dec 22 2026 - Jan 31 2027,0,0,0,36,4,40,36,4,40,36,4,40,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1289,"Manti, Ferron Lower Escarpment",Any Legal Weapon,General Season,Nov 14 2026 - Dec 21 2026,0,0,0,36,4,40,36,4,40,36,4,40,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1290,"Manti, Ferron Lower Escarpment",Any Legal Weapon,General Season,Sept 16 2026 - Nov 13 2026,0,0,0,36,4,40,36,4,40,36,4,40,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1017,"Manti, Gordon Creek-Price Canyon",Any Legal Weapon,General Season,Nov 25 2026 - Jan 31 2027,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1018,"Manti, Horn Mtn",Any Legal Weapon,General Season,Nov 19 2026 - Dec 31 2026,54,6,60,54,6,60,54,6,60,54,6,60,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1020,"Manti, Mohrland-Stump Flat",Any Legal Weapon,General Season,Nov 25 2026 - Jan 31 2027,108,12,120,108,12,120,108,12,120,108,12,120,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1022,"Manti, North",Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,270,30,300,270,30,300,270,30,300,270,30,300,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1023,"Manti, South",Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1024,"Manti, South",Any Legal Weapon,General Season,Nov 19 2026 - Jan 31 2027,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1025,"Manti, West",Any Legal Weapon,General Season,Nov 19 2026 - Jan 31 2027,108,12,120,108,12,120,108,12,120,108,12,120,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1286,Monroe,Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,27,3,30,36,4,40,36,4,40,36,4,40,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1228,Morgan-South Rich,Any Legal Weapon,General Season,Dec 01 2026 - Dec 21 2026,67,8,75,67,8,75,67,8,75,67,8,75,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1229,Morgan-South Rich,Any Legal Weapon,General Season,Dec 22 2026 - Jan 31 2027,144,16,160,144,16,160,144,16,160,144,16,160,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1044,"Morgan-South Rich, South Rich",Any Legal Weapon,General Season,Dec 01 2026 - Jan 31 2027,31,4,35,31,4,35,31,4,35,31,4,35,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1291,"Mt Dutton, North",Any Legal Weapon,General Season,Dec 19 2026 - Jan 10 2027,0,0,0,72,8,80,72,8,80,72,8,80,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1292,"Mt Dutton, North",Any Legal Weapon,General Season,Nov 21 2026 - Dec 06 2026,0,0,0,72,8,80,72,8,80,72,8,80,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1021,Nebo,Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,207,23,230,252,28,280,252,28,280,252,28,280,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1208,Nebo,Any Legal Weapon,General Season,Nov 14 2026 - Jan 31 2027,247,28,275,292,33,325,292,33,325,292,33,325,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1207,"Nebo, Moroni Hills",Any Legal Weapon,General Season,Aug 01 2026 - Aug 19 2026,9,1,10,9,1,10,9,1,10,9,1,10,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1226,"Nebo, Moroni Hills",Any Legal Weapon,General Season,Sept 12 2026 - Oct 02 2026,9,1,10,9,1,10,9,1,10,9,1,10,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA2034,"Nine Mile, Anthro",Archery,General Season,Aug 15 2026 - Sept 16 2026,180,20,200,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1239,"Nine Mile, Range Creek",Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,45,5,50,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1240,"Nine Mile, Range Creek",Any Legal Weapon,General Season,Nov 25 2026 - Jan 31 2027,135,15,150,135,15,150,135,15,150,135,15,150,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1053,"Nine Mile, West Anthro",Any Legal Weapon,General Season,Jan 16 2027 - Jan 24 2027,0,0,0,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1054,"Nine Mile, West Anthro",Any Legal Weapon,General Season,Dec 12 2026 - Dec 31 2026,45,5,50,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1056,"North Slope, Greendale",Any Legal Weapon,General Season,Nov 14 2026 - Nov 29 2026,4,1,5,4,1,5,4,1,5,4,1,5,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1058,"North Slope, Henrys Fork-Burnt Fork",Any Legal Weapon,General Season,Nov 07 2026 - Jan 30 2027,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1196,"North Slope, Summit",Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,67,8,75,67,8,75,67,8,75,67,8,75,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1268,"North Slope, Summit",Archery,General Season,Aug 15 2026 - Sept 16 2026,180,20,200,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1273,"North Slope, Three Corners",Any Legal Weapon,General Season,Dec 19 2026 - Jan 03 2027,22,3,25,22,3,25,22,3,25,22,3,25,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1274,"North Slope, Three Corners",Archery,General Season,Aug 15 2026 - Sept 04 2026,22,3,25,22,3,25,22,3,25,22,3,25,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1277,"North Slope, Three Corners",Any Legal Weapon,General Season,Nov 21 2026 - Nov 29 2026,22,3,25,22,3,25,22,3,25,22,3,25,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1293,"North Slope, Three Corners",Any Legal Weapon,General Season,Oct 03 2026 - Oct 16 2026,0,0,0,22,3,25,22,3,25,22,3,25,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1060,"North Slope, West Daggett",Muzzleloader,General Season,Oct 28 2026 - Nov 05 2026,18,2,20,18,2,20,18,2,20,18,2,20,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1061,"North Slope, West Daggett",Muzzleloader,General Season,Sept 23 2026 - Oct 01 2026,18,2,20,18,2,20,18,2,20,18,2,20,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1250,"North Slope, West Daggett",Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,27,3,30,27,3,30,27,3,30,27,3,30,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1063,Ogden,Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,67,8,75,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1064,Ogden,Any Legal Weapon,General Season,Nov 07 2026 - Nov 29 2026,67,8,75,67,8,75,67,8,75,67,8,75,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1269,Ogden (excludes Hyrum),Any Legal Weapon,General Season,Dec 01 2026 - Dec 31 2026,180,20,200,270,30,300,270,30,300,270,30,300,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA2036,"Oquirrh-Stansbury, East",Any Legal Weapon,General Season,Nov 07 2026 - Jan 31 2027,54,6,60,63,7,70,63,7,70,63,7,70,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1069,Panguitch Lake,Any Legal Weapon,General Season,Nov 21 2026 - Nov 29 2026,31,4,35,22,3,25,22,3,25,22,3,25,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1283,Panguitch Lake,Archery,General Season,Aug 15 2026 - Aug 30 2026,31,4,35,31,4,35,31,4,35,31,4,35,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1284,Panguitch Lake,Muzzleloader,General Season,Oct 28 2026 - Nov 05 2026,31,4,35,49,6,55,49,6,55,49,6,55,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1285,Panguitch Lake,Any Legal Weapon,General Season,Dec 12 2026 - Dec 20 2026,31,4,35,22,3,25,22,3,25,22,3,25,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1073,Paunsaugunt,Any Legal Weapon,General Season,Nov 21 2026 - Dec 31 2026,18,2,20,18,2,20,18,2,20,18,2,20,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1294,"Paunsaugunt, East Creek",Any Legal Weapon,General Season,Aug 01 2026 - Aug 12 2026,0,0,0,22,3,25,22,3,25,22,3,25,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1254,Pine Valley,Any Legal Weapon,General Season,Nov 11 2026 - Jan 11 2027,27,3,30,27,3,30,27,3,30,27,3,30,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1081,San Juan,Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,112,13,125,112,13,125,112,13,125,112,13,125,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1082,San Juan,Any Legal Weapon,General Season,Nov 19 2026 - Dec 31 2026,112,13,125,112,13,125,112,13,125,112,13,125,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1084,"San Rafael, North",Any Legal Weapon,General Season,Nov 07 2026 - Jan 31 2027,4,1,5,4,1,5,4,1,5,4,1,5,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1101,Southwest Desert,Any Legal Weapon,General Season,Nov 20 2026 - Jan 10 2027,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1251,"Southwest Desert, Burbank/Garrison",Any Legal Weapon,General Season,Aug 01 2026 - Aug 13 2026,13,2,15,11,1,12,11,1,12,11,1,12,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1085,Vernal/Bonanza,Archery,General Season,Aug 15 2026 - Sept 16 2026,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1087,Vernal/Bonanza,Any Legal Weapon,General Season,Oct 03 2026 - Oct 16 2026,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1242,"Vernal, Buckskin Hills-Jensen",Any Legal Weapon,General Season,Dec 01 2026 - Dec 31 2026,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1243,"Vernal, Buckskin Hills-Jensen",Any Legal Weapon,General Season,Jan 01 2027 - Jan 31 2027,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1094,"Vernal, Mosby Mtn",Any Legal Weapon,General Season,Nov 07 2026 - Jan 03 2027,90,10,100,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA2038,Wasatch Mtns,Archery,General Season,Aug 15 2026 - Sept 04 2026,1080,120,1200,1080,120,1200,1080,120,1200,1080,120,1200,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1106,"Wasatch Mtns, Avintaquin",Any Legal Weapon,General Season,Jan 02 2027 - Jan 17 2027,180,20,200,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1217,"Wasatch Mtns, Avintaquin",Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,135,15,150,135,15,150,135,15,150,135,15,150,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
EA1295,"Wasatch Mtns, Avintaquin",Muzzleloader,General Season,Oct 28 2026 - Nov 05 2026,0,0,0,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,MATCH,NO,NO,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
