current_hunt_code,current_prefix,current_hunt_name,species,sex_type,weapon,hunt_type,season,in_database_2026,database_permits_2026_res,database_permits_2026_nonres,database_permits_2026_total,overlay_source_files,historical_hunt_code,historical_prefix,candidate_historical_codes,historical_years,relationship_type,crosswalk_status,mapping_confidence,mapping_method,data_quality_grade,backcheck_best_match_method,backcheck_reason_code,backcheck_candidates,full_joined_name_match_codes,full_joined_exact_history_years,full_joined_name_match_years,recommended_model_behavior,source_files,notes
EA1180,EA,La Sal (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 17 - Dec 31, 2025",YES,,,,data_truth/permit_overlay_truth/normalized/conservation_permit_hunt_code_lock_2026.csv,EA1180,EA,EA1180|EA1258,2023|2025,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,A,none,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,,EA1180|EA1258,2025,2023|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
EA1270,EA,Fishlake (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 22 - Dec 31, 2025",YES,,,,data_truth/permit_overlay_truth/normalized/conservation_permit_hunt_code_lock_2026.csv,EA1270,EA,EA1271|EA2011,2024|2025,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,B,normalized_hunt_name_family,POSSIBLE_RENAME_OR_SPLIT_MERGE,2024:EA2011:Manti,EA1271,2025,2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
EA1271,EA,Manti (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 19, 2025 - Jan 31, 2026",YES,,,,data_truth/permit_overlay_truth/normalized/conservation_permit_hunt_code_lock_2026.csv,EA1271,EA,EA1220|EA1270|EA2011,2024|2025,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,B,none,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,,EA1220|EA1270|EA2011,2025,2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
EA2041,EA,Cache (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 26, 2025",YES,,,,data_truth/permit_overlay_truth/normalized/conservation_permit_hunt_code_lock_2026.csv,EA2041,EA,EA1267|EA2027|EA2041,2021|2022|2024|2025,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,B,normalized_hunt_name_family,POSSIBLE_RENAME_OR_SPLIT_MERGE,2021:EA2027:Cache; 2024:EA1267:Cache; 2024:EA2027:Cache,EA1267|EA2027|EA2041,2025,2021|2022|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
EA2045,EA,Wasatch Mtns (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026",YES,,,,data_truth/permit_overlay_truth/normalized/conservation_permit_hunt_code_lock_2026.csv,EA2045,EA,EA1246|EA2038|EA2045,2022|2023|2024|2025,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,B,none,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,,EA1246|EA2038|EA2045,2025,2022|2023|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
EB3128,EB,"Box Elder, Grouse Creek",Elk,Bull,Multiseason,Conservation,"Any Legal Weapon: Sept 16-20, 2026 & Oct 3 - 15, 2026 | Muzz: Sept 21-Oct 2, 2026",YES,,,1,data_truth/permit_overlay_truth/normalized/conservation_permit_hunt_code_lock_2026.csv,EB3128,EB,EB3128|EB3147|EB3150|EB3153,2021|2022|2023|2024|2025,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,B,exact_hunt_code,EXACT_CODE_HISTORY_USED,"2021:EB3153:Box Elder, Grouse Creek; 2022:EB3147:Box Elder, Grouse Creek; 2022:EB3150:Box Elder, Grouse Creek; 2022:EB3153:Box Elder, Grouse Creek; 2023:EB3147:Box Elder, Grouse Creek; 2023:EB3150:Box Elder, Grouse Creek; 2023:EB3153:Box Elder, Grouse Creek; 2024:EB3147:Box Elder, Grouse Creek; 2024:EB3150:Box Elder, Grouse Creek; 2024:EB3153:Box Elder, Grouse Creek",EB3128|EB3147|EB3150|EB3153,2022|2025,2021|2022|2023|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
EB3209,EB,"Box Elder, Pilot Mtn",Elk,Bull,Multiseason,Conservation,"Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026",YES,,,1,data_truth/permit_overlay_truth/normalized/conservation_permit_hunt_code_lock_2026.csv,EB3209,EB,EB3031|EB3130|EB3209,2021|2022|2023|2024|2025,EXACT_CODE_HISTORY,PROMOTED_EXACT_HISTORY,HIGH,exact_history,B,normalized_hunt_name_family,POSSIBLE_RENAME_OR_SPLIT_MERGE,"2021:EB3130:Box Elder, Pilot Mtn; 2022:EB3031:Box Elder, Pilot Mtn; 2022:EB3130:Box Elder, Pilot Mtn; 2023:EB3031:Box Elder, Pilot Mtn; 2023:EB3130:Box Elder, Pilot Mtn; 2024:EB3031:Box Elder, Pilot Mtn; 2024:EB3130:Box Elder, Pilot Mtn",EB3031|EB3130|EB3209,2025,2021|2022|2023|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,Code was independently locked by permit overlay/reference workflow.
EL3000,EL,Beaver East,Elk,Bull,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,YES,,,,,EB3000,EB,EB3000|EB3024|EB3025|EB3077|EB3102|EB3158|EB3159|EL3000|EL3024,2021|2022|2023|2024|2025,PREFIX_SWAP_EL_TO_EB,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,A,normalized_hunt_name_family,POSSIBLE_RENAME_OR_SPLIT_MERGE,"2021:EB3000:Beaver, East; 2021:EB3077:Beaver, East; 2021:EB3102:Beaver, East; 2022:EB3000:Beaver, East; 2022:EB3024:Beaver, East; 2022:EB3025:Beaver, East; 2022:EB3077:Beaver, East; 2022:EB3102:Beaver, East; 2023:EB3000:Beaver, East; 2023:EB3024:Beaver, East; 2023:EB3025:Beaver, East; 2023:EB3077:Beaver, East; 2023:EB3102:Beaver, East; 2023:EB3158:Beaver, East; 2023:EB3159:Beaver, East; 2024:EB3000:Beaver, East; 2024:EB3024:Beaver, East; 2024:EB3025:Beaver, East; 2024:EB3077:Beaver, East; 2024:EB3102:Beaver, East; 2024:EB3158:Beaver, East; 2024:EB3159:Beaver, East",EB3000|EB3024|EB3025|EB3077|EB3102|EB3158|EB3159|EL3000|EL3024,2025,2021|2022|2023|2024|2025,USE_EXACT_HUNT_CODE_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|data_model/harvest_quality/raw_packages/unknown_for_unknown_hunt_code_year_backcheck_outputs/hunt_code_backward_crosscheck_2026_from_harvest_history.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Current 2026 Hunt Planner code family is treated as current truth; historical code is a crosswalk candidate, not a replacement."
EL3002,EL,Book Cliffs Little Creek Roadless,Elk,Bull,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,YES,,,,,EB3002,EB,EB3002|EB3028|EB3079|EB3104|EB3167|EL3002,2021|2022|2023|2024|2025,PREFIX_SWAP_EL_TO_EB,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,C,,,,EB3002|EB3028|EB3079|EB3104|EB3167,,2021|2022|2023|2024|2025,USE_REVIEWED_NAME_FAMILY_OR_PARENT_UNIT_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv|processed_data/historical_le_to_eb_crosswalk_2024.csv,"Current 2026 Hunt Planner code family is treated as current truth; historical code is a crosswalk candidate, not a replacement."
EL3003,EL,Cache Meadowville,Elk,Bull,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,YES,,,,,EB3003,EB,EB3003|EB3032|EB3033|EB3081|EB3105|EB3168|EB3169|EL3033,2021|2022|2023|2024|2025,PREFIX_SWAP_EL_TO_EB,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,C,,,,EB3003|EB3032|EB3033|EB3081|EB3105|EB3168|EB3169|EL3033,,2021|2022|2023|2024|2025,USE_REVIEWED_NAME_FAMILY_OR_PARENT_UNIT_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Current 2026 Hunt Planner code family is treated as current truth; historical code is a crosswalk candidate, not a replacement."
EL3005,EL,Cache South,Elk,Bull,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,YES,,,,,EB3005,EB,EB3005|EB3036|EB3037|EB3083|EB3107|EB3170|EB3171|EL3171,2021|2022|2023|2024|2025,PREFIX_SWAP_EL_TO_EB,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,C,,,,EB3005|EB3036|EB3037|EB3083|EB3107|EB3170|EB3171|EL3171,,2021|2022|2023|2024|2025,USE_REVIEWED_NAME_FAMILY_OR_PARENT_UNIT_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Current 2026 Hunt Planner code family is treated as current truth; historical code is a crosswalk candidate, not a replacement."
EL3006,EL,Manti,Elk,Bull,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,YES,,,,,EB3006,EB,EB3006|EB3038|EB3039|EB3084|EB3108|EB3126|EB3172|EL3038|EL3039|EL3084|EL3126,2024|2025,PREFIX_SWAP_EL_TO_EB,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,C,,,,EB3006|EB3038|EB3039|EB3084|EB3108|EB3126|EB3172|EL3038|EL3039|EL3084|EL3126,,2024|2025,USE_REVIEWED_NAME_FAMILY_OR_PARENT_UNIT_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Current 2026 Hunt Planner code family is treated as current truth; historical code is a crosswalk candidate, not a replacement."
EL3008,EL,Fillmore Pahvant,Elk,Bull,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,YES,,,,,EB3008,EB,EB3008|EB3042|EB3043|EB3086|EB3110|EB3180|EB3181|EL3181,2021|2022|2023|2024|2025,PREFIX_SWAP_EL_TO_EB,PROMOTED_PREFIX_SWAP_CANDIDATE,HIGH,prefix_swap_same_numeric,C,,,,EB3008|EB3042|EB3043|EB3086|EB3110|EB3180|EB3181|EL3181,,2021|2022|2023|2024|2025,USE_REVIEWED_NAME_FAMILY_OR_PARENT_UNIT_HISTORY,data_model/harvest_quality/raw_packages/unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected/full_joined_hunt_code_backcheck_2021_2026_conservation_annual_per_row.csv|pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,"Current 2026 Hunt Planner code family is treated as current truth; historical code is a crosswalk candidate, not a replacement."
