hunt_code,hunt_name,species,hunt_type,weapon,residency,draw_pool,public_permits_2025,public_permits_2026,permits_2026_total,permit_delta,permit_status,source_file_2026,coverage_reason,audit_label,audit_rationale
EA1278,"Manti, Ferron-Nelson Mtn",Elk,General Season,Any Legal Weapon,Resident,standard,19,45,50,26,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1189,"Wasatch Mtns, West-Central",Elk,General Season,Muzzleloader,Nonresident,standard,18,43,425,25,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1085,Vernal/Bonanza,Elk,General Season,Archery,Resident,standard,66,90,100,24,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1224,"Book Cliffs, Bitter Creek/South",Elk,General Season,Any Legal Weapon,Resident,standard,94,117,130,23,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1033,Kamas,Elk,General Season,Any Legal Weapon,Resident,standard,90,112,125,22,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1081,San Juan,Elk,General Season,Any Legal Weapon,Resident,standard,90,112,125,22,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1082,San Juan,Elk,General Season,Any Legal Weapon,Resident,standard,90,112,125,22,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1269,Ogden (Excludes Hyrum),Elk,General Season,Any Legal Weapon,Resident,standard,158,180,200,22,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA2033,Kamas,Elk,General Season,Any Legal Weapon,Nonresident,standard,3,25,250,22,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1020,"Manti, Mohrland-Stump Flat",Elk,General Season,Any Legal Weapon,Resident,standard,87,108,120,21,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1025,"Manti, West",Elk,General Season,Any Legal Weapon,Resident,standard,87,108,120,21,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EB3073,Wasatch Mtns,Elk,Limited Entry,Late Any Legal Weapon,Resident,standard,110,89,99,-21,FULL_SPLIT,BULL ELK DATABASE.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
BI6506,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,Resident,standard,30,11,11,-19,FULL_SPLIT,bison  cow.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA2034,"Nine Mile, Anthro",Elk,General Season,Archery,Nonresident,standard,1,20,200,19,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
DB1107,Thousand Lakes,Deer,Limited Entry,Muzzleloader Restricted,Resident,standard,2,20,22,18,FULL_SPLIT,BUCK DEER.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1017,"Manti, Gordon Creek-Price Canyon",Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1023,"Manti, South",Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1024,"Manti, South",Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1058,"North Slope, Henry's Fork-Burnt Fork",Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1087,Bonanza/Vernal,Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1094,"Vernal, Mosby Mtn",Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1101,Southwest Desert,Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1242,"Vernal, Buckskin Hills-Jensen",Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1243,"Vernal, Buckskin Hills-Jensen",Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1244,Yellowstone,Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1265,"Wasatch Mtns, Tabby Mtn",Elk,General Season,Any Legal Weapon,Resident,standard,72,90,100,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1268,"North Slope, Summit",Elk,General Season,Archery,Nonresident,standard,2,20,200,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1272,"East Canyon, East",Elk,General Season,Any Legal Weapon,Resident,standard,117,135,150,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1282,"Ogden, North",Elk,General Season,Archery,Nonresident,standard,2,20,200,18,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EB3100,Wasatch Mtns,Elk,Limited Entry,Muzzleloader,Resident,standard,96,78,87,-18,FULL_SPLIT,BULL ELK DATABASE.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
BI6505,Henry Mtns,Bison,Once-in-a-lifetime,Any Legal Weapon,Resident,standard,25,8,11,-17,FULL_SPLIT,bison  cow.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1217,"Wasatch Mtns, Avintaquin",Elk,General Season,Any Legal Weapon,Resident,standard,118,135,150,17,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1279,"Manti, Ferron-Nelson Mtn",Elk,General Season,Any Legal Weapon,Resident,standard,28,45,50,17,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1267,Cache,Elk,General Season,Any Legal Weapon,Resident,standard,65,81,90,16,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
DB1024,"West Desert, Vernon",Deer,Limited Entry,Any Legal Weapon,Resident,standard,115,130,144,15,FULL_SPLIT,BUCK DEER.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1269,Ogden (Excludes Hyrum),Elk,General Season,Any Legal Weapon,Nonresident,standard,5,20,200,15,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1240,"Nine Mile, Range Creek",Elk,General Season,Any Legal Weapon,Resident,standard,121,135,150,14,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
PD1000,"Box Elder, Snowville",Pronghorn,General Season,Any Legal Weapon,Resident,standard,58,72,80,14,FULL_SPLIT,pronghorn doe.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
BI6536,"Book Cliffs, Bitter Creek",Bison,Once-in-a-lifetime,Any Legal Weapon,Resident,standard,2,15,15,13,FULL_SPLIT,bison  cow.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1049,"Mt Dutton, Deep Creek",Elk,General Season,Any Legal Weapon,Resident,standard,54,67,75,13,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1196,"North Slope, Summit",Elk,General Season,Any Legal Weapon,Resident,standard,54,67,75,13,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1280,"La Sal, La Sal Mtns-North",Elk,General Season,Any Legal Weapon,Nonresident,standard,5,18,175,13,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1281,"Mt Dutton, Deep Creek",Elk,General Season,Any Legal Weapon,Resident,standard,54,67,75,13,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
PB5302,Deseret CWMU,Pronghorn,CWMU,Any Legal Weapon,Resident,standard,16,29,29,13,FULL_SPLIT,pronghorn buck.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
DB1025,Book Cliffs,Deer,Limited Entry,Muzzleloader,Resident,standard,43,55,61,12,FULL_SPLIT,BUCK DEER.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1013,"Manti, Central",Elk,General Season,Any Legal Weapon,Resident,standard,51,63,70,12,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1015,"Manti, Ferron Canyon",Elk,General Season,Any Legal Weapon,Resident,standard,51,63,70,12,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1134,Ensign Ranches CWMU,Elk,CWMU,Any Legal Weapon,Resident,standard,48,60,60,12,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1174,Two Bear CWMU,Elk,CWMU,Any Legal Weapon,Resident,standard,48,60,60,12,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
DB1011,Book Cliffs,Deer,Limited Entry,Archery,Resident,standard,44,55,61,11,FULL_SPLIT,BUCK DEER.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
DB1106,Thousand Lakes,Deer,Limited Entry,Archery Restricted,Resident,standard,9,20,22,11,FULL_SPLIT,BUCK DEER.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1063,Ogden,Elk,General Season,Any Legal Weapon,Resident,standard,56,67,75,11,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1079,Fishlake/Thousand Lakes East,Elk,General Season,Any Legal Weapon,Resident,standard,47,58,65,11,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EB3072,Wasatch Mtns,Elk,Limited Entry,Early Any Legal Weapon,Resident,standard,65,54,60,-11,FULL_SPLIT,BULL ELK DATABASE.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1018,"Manti, Horn Mtn",Elk,General Season,Any Legal Weapon,Resident,standard,44,54,60,10,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1080,Fishlake/Thousand Lakes West,Elk,General Season,Any Legal Weapon,Resident,standard,44,54,60,10,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1136,Grass Valley/Clark Canyon CWMU,Elk,CWMU,Any Legal Weapon,Resident,standard,40,50,50,10,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA2036,"Oquirrh-Stansbury, East",Elk,General Season,Any Legal Weapon,Resident,standard,44,54,60,10,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EB3177,Nebo/San Pitch Mtns,Elk,Limited Entry,Mid Any Legal Weapon,Resident,standard,24,34,38,10,FULL_SPLIT,BULL ELK DATABASE.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
DB1004,Paunsaugunt,Deer,Premium Limited Entry,Any Legal Weapon,Nonresident,standard,17,8,83,-9,FULL_SPLIT,BUCK DEER.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
DB1058,Paunsaugunt,Deer,Cactus Buck,Any Legal Weapon,Resident,standard,27,18,20,-9,FULL_SPLIT,BUCK DEER.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from a named 2026 source file, which strongly suggests a real published permit change."
EA1030,"Fillmore, Pahvant",Elk,General Season,Any Legal Weapon,Resident,standard,36,45,50,9,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1031,"Fillmore, Pahvant",Elk,General Season,Any Legal Weapon,Resident,standard,36,45,50,9,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1035,"Kamas, Oakley",Elk,General Season,Any Legal Weapon,Resident,standard,103,112,125,9,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1037,"La Sal, Dolores Triangle",Elk,General Season,Any Legal Weapon,Resident,standard,36,45,50,9,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1054,"Nine Mile, West Anthro",Elk,General Season,Any Legal Weapon,Resident,standard,36,45,50,9,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1075,Boulder East,Elk,General Season,Any Legal Weapon,Resident,standard,36,45,50,9,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
EA1076,Boulder West,Elk,General Season,Any Legal Weapon,Resident,standard,36,45,50,9,FULL_SPLIT,antlerless elk.xlsx,modeled_engine,LIKELY_REAL_SOURCE_CHANGE,"2026 row has a full resident/nonresident split from the antlerless elk source, which strongly suggests a real published permit change."
