Hunt Name,Hunt Code,Sex,Species,Weapon,Hunt Type,Season,Non Res,Res,Total,Source Authority,Permit Status,Data Status,Notes
"Nine Mile, Anthro-Myton Bench",PB5011,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,3,30,33,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"North Slope, Three Corners/West Daggett",PB5012,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,10,11,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Pine Valley,PB5013,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,7,8,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"San Rafael, North",PB5015,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,2,21,23,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Diamond Mtn/Bonanza,PB5016,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,2,17,19,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Vernal,PB5017,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,2,18,20,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Southwest Desert,PB5018,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,4,31,35,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"West Desert, Riverbed",PB5019,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,2,18,20,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"West Desert, Rush Valley",PB5020,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,8,9,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"West Desert, Snake Valley",PB5021,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,3,23,26,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Southwest Desert,PB5024,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,4,31,35,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Beaver,PB5025,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,5,43,48,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Book Cliffs, Bitter Creek",PB5026,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,6,50,56,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Book Cliffs, South",PB5027,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,4,34,38,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, Promontory",PB5028,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,2,14,16,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, Puddle Valley",PB5029,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,2,14,16,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, Snowville",PB5030,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,3,28,31,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, West",PB5031,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,3,30,33,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Fillmore, Oak Creek South",PB5033,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,5,46,51,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Kaiparowits,PB5034,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,0,2,2,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"La Sal, Potash/South Cisco",PB5035,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,2,22,24,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Nine Mile, Anthro-Myton Bench",PB5037,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,10,89,99,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Nine Mile, Range Creek",PB5038,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,1,13,14,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"North Slope, Summit",PB5039,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,2,15,17,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"North Slope, Three Corners/West Daggett",PB5040,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,3,29,32,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Panguitch Lake/Zion, North",PB5041,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,2,21,23,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Pine Valley,PB5042,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,2,21,23,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"San Juan, Hatch Point",PB5044,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,0,3,3,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"San Rafael, Desert",PB5045,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,1,7,8,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"San Rafael, North",PB5046,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,7,62,69,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Diamond Mtn/Bonanza,PB5047,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,6,50,56,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Vernal,PB5048,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,6,54,60,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Southwest Desert,PB5049,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,11,94,105,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"West Desert, Riverbed",PB5050,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,8,73,81,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"West Desert, Rush Valley",PB5051,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,4,32,36,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"West Desert, Snake Valley",PB5052,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,11,95,106,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Nine Mile, Range Creek",PB5053,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,0,4,4,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Panguitch Lake/Zion, North",PB5054,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,7,8,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"San Rafael, Desert",PB5055,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,0,2,2,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"San Rafael, North",PB5056,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,2,21,23,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Nine Mile, Anthro-Myton Bench",PB5059,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,3,30,33,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Diamond Mtn/Bonanza,PB5060,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,2,17,19,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Panguitch Lake/Zion, North",PB5061,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,1,7,8,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Pine Valley,PB5062,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,1,7,8,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Fillmore, Oak Creek South",PB5065,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,2,15,17,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"North Slope, Three Corners/West Daggett",PB5066,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,1,10,11,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Vernal,PB5072,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,2,18,20,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Cache, Rich",PB5073,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,0,6,6,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Cache, Rich",PB5074,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,0,2,2,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Cache, Rich",PB5075,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,0,2,2,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Parker Mtn,PB5076,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,15,135,150,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Parker Mtn,PB5077,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,5,45,50,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Parker Mtn,PB5078,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,5,45,50,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, West",PB5079,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,1,10,11,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, Snowville",PB5080,Buck,Pronghorn,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,1,9,10,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Antelope Creek CWMU,PB5300,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Deseret CWMU,PB5302,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Park Valley CWMU,PB5305,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Rabbit Creek CWMU,PB5306,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Skull Valley South CWMU,PB5309,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
The Rose of Snowville CWMU,PB5311,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
TL Bar Ranch CWMU,PB5312,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Westlake CWMU,PB5314,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Zane CWMU,PB5315,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Allen Ranch CWMU,PB5325,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Cedar Springs CWMU,PB5326,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Cottonwood Ridge CWMU,PB5327,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Pahvant Ensign CWMU,PB5328,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Snowville Flat CWMU,PB5329,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
George Creek CWMU,PB5330,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Mt Dutton/Paunsaugunt,PB5331,Buck,Pronghorn,Any Legal Weapon,Limited Entry,Sept 12 2026 - Sept 20 2026,2,13,15,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Mt Dutton/Paunsaugunt,PB5332,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,4,5,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Heist CWMU,PB5337,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Castle Valley Outdoors CWMU,PB5338,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Iron Spring CWMU,PB5339,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Salt Wells CWMU,PB5342,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Green River Flat CWMU,PB5345,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Junction Valley CWMU,PB5346,Buck,Pronghorn,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,0,0,0,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
