reported_hunt_year,species,measurement_record_no,location_of_kill,normalized_location,matched_unit_name,matched_hunt_name,matched_species,possible_hunt_codes,selected_hunt_code,match_status,match_confidence,match_method,notes
2023,Bighorn Sheep,23,STEVENS CANYON,stevens canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,24,Sheep canyon,sheep canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,25,Iron Top Mesa,iron top mesa,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,26,Davis Gulch,davis gulch,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,27,Cottonwood,cottonwood,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,28,Big Water/Wahweap Creek,big water wahweap creek,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,29,Hackberry,hackberry,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,30,Cottonwood,cottonwood,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,31,Tibbets Canyon,tibbets canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,32,Long canyon,long canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,33,Bull Canyon,bull canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,34,Mineral Cyn.,mineral canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,35,Lockhart Basin,lockhart basin,"San Juan, Lockhart","DS6606 San Juan, Lockhart",Desert Bighorn Sheep,DS6606,DS6606,MATCHED,HIGH,normalized_location_keyword,Distinctive Lockhart desert bighorn hunt name/location.
2023,Bighorn Sheep,36,North Lockhart Bsn.,north lockhart basin,"San Juan, Lockhart","DS6606 San Juan, Lockhart",Desert Bighorn Sheep,DS6606,DS6606,MATCHED,HIGH,normalized_location_keyword,Distinctive Lockhart desert bighorn hunt name/location.
2023,Bighorn Sheep,37,Windgate Mesa,windgate mesa,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,38,Chocolate drop,chocolate drop,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,39,Dirty devil river drainage (hite),dirty devil river drainage hite,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,40,Ocean Point,ocean point,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,41,Poison Spring,poison spring,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,42,Poison springs,poison springs,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,43,Dirty Devil River,dirty devil river,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,44,Sam's Mesa,sam s mesa,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,45,GIBEX,gibex,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,46,Larry’s canyon,larry s canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,47,Stair Cyn,stair canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,48,Buckhorn Wash,buckhorn wash,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,49,Buckhorn Wash,buckhorn wash,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,50,Box Flat,box flat,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,51,Buckhorn Draw,buckhorn draw,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,52,Between Swaseys and Ghost Rock,between swaseys and ghost rock,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,53,Ghost rock/ Eagle Canyon,ghost rock eagle canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,54,john's hole,john s hole,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,55,Chimney Canyon,chimney canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,56,near Swasey's Cabin,near swasey s cabin,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,57,Goblin Valley,goblin valley,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,58,Chute Canyon,chute canyon,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,59,Hidden Splinder,hidden splinder,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,60,Straight wash,straight wash,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,61,North of east cedar mountain,north of east cedar mountain,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,62,Moroni slopes,moroni slopes,"San Rafael, Dirty Devil","DS6608 San Rafael, Dirty Devil; DS6624 San Rafael, Dirty Devil",Desert Bighorn Sheep,DS6608|DS6624,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,San Rafael Dirty Devil area has any-legal and archery coded hunts.
2023,Bighorn Sheep,63,Merwin Canyon,merwin canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,64,Barracks/Yellow Jacket,barracks yellow jacket,Zion,DS6611 Zion,Desert Bighorn Sheep,DS6611,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.
2023,Bighorn Sheep,65,cedar pockets,cedar pockets,Zion,DS6611 Zion,Desert Bighorn Sheep,DS6611,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.
2023,Bighorn Sheep,66,Cedar Pocket Wash,cedar pocket wash,Zion,DS6611 Zion,Desert Bighorn Sheep,DS6611,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.
2023,Bighorn Sheep,67,Pahcoon,pahcoon,Zion,DS6611 Zion,Desert Bighorn Sheep,DS6611,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.
2023,Bighorn Sheep,68,North horse canyon,north horse canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,69,Pahcoon Flat Hills,pahcoon flat hills,Zion,DS6611 Zion,Desert Bighorn Sheep,DS6611,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.
2023,Bighorn Sheep,70,Horse canyon,horse canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,71,HORSE CANYON,horse canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,72,Dark Cyn.,dark canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,73,Dark Canyon,dark canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,74,Dark Cyn.,dark canyon,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,75,Muley Pt. - San Juan River,muley point san juan river,"San Juan, San Juan River","DS6623 San Juan, San Juan River",Desert Bighorn Sheep,DS6623,DS6623,MATCHED,HIGH,normalized_location_keyword,Distinctive San Juan River desert bighorn hunt name/location.
2023,Bighorn Sheep,76,Granit wash,granit wash,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,77,bookcliffs rattlesnake,book cliffs rattlesnake,"Book Cliffs, South","RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,RS6701,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.
2023,Bighorn Sheep,78,Rock Canyon,rock canyon,"Book Cliffs, South","RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,RS6701,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.
2023,Bighorn Sheep,79,Near Butler Canyon,near butler canyon,"Book Cliffs, South","RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,RS6701,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.
2023,Bighorn Sheep,80,Trail Cyn,trail canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,81,Big Pass,big pass,"Box Elder, Newfoundland Mtn","RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,RS6703|RS6704|RS6722,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery."
2023,Bighorn Sheep,82,Devils twist,devils twist,"Box Elder, Newfoundland Mtn","RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,RS6703|RS6704|RS6722,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery."
2023,Bighorn Sheep,83,Oak Creek Canyon/ Little Creek,oak creek little creek,"Fillmore, Oak Creek","RS6720 Fillmore, Oak Creek; RS6726 Fillmore, Oak Creek; RS6727 Fillmore, Oak Creek",Rocky Mountain Bighorn Sheep,RS6720|RS6726|RS6727,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Fillmore Oak Creek unit has multiple coded hunts, including archery."
2023,Bighorn Sheep,84,Woodside,woodside,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,85,North end by freeway,north end by freeway,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,86,Butler Canyon off Hastings Road,butler canyon off hastings road,"Book Cliffs, South","RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,RS6701,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.
2023,Bighorn Sheep,87,Tusher Canyon,tusher canyon,"Box Elder, Newfoundland Mtn","RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,RS6703|RS6704|RS6722,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery."
2023,Bighorn Sheep,88,Rattlesnake Canyon,rattlesnake canyon,"Book Cliffs, South","RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,RS6701,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.
2023,Bighorn Sheep,89,horse canyon,horse canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,90,Rattlesnake,rattlesnake,"Book Cliffs, South","RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,RS6701,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.
2023,Bighorn Sheep,91,Desert Peak,desert peak,"Box Elder, Newfoundland Mtn","RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,RS6703|RS6704|RS6722,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery."
2023,Bighorn Sheep,92,First big canyon on northwest side,first big canyon on northwest side,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,93,1 mile north of military fence,1 mile north of military fence,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,94,Miners Basin,miners basin,"Box Elder, Newfoundland Mtn","RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,RS6703|RS6704|RS6722,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery."
