report_cycle,reported_hunt_year,season_year,model_target_year,species,source_family,season,region,county,row_type,n,hunters_afield,total_harvest,mean_public_days_afield,mean_private_days_afield,percent_success,hunt_code,hunt_name,source_file,source_page,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_status,source_url_or_citation,source_data_level,applicant_pool_use
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,Piute,county,1,5,0,2.0,0.0,0.0,,Piute,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,Sevier,county,14,65,9,2.1,0.1,14.3,,Sevier,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,Washington,county,18,84,33,1.7,0.8,38.9,,Washington,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,Wayne,county,3,14,5,1.3,0.7,33.3,,Wayne,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southern,Southern Region total,regional_total,71,330,116,1.9,0.4,35.2,,Southern Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northeastern,Daggett,county,2,9,0,1.5,0.0,0.0,,Daggett,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northeastern,Duchesne,county,20,93,19,1.2,1.3,20.0,,Duchesne,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northeastern,Uintah,county,20,93,42,1.4,1.5,45.0,,Uintah,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Northeastern,Northeastern Region total,regional_total,42,195,61,1.3,1.3,31.3,,Northeastern Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,Carbon,county,0,0,,,,,,Carbon,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,Emery,county,6,28,14,0.8,1.8,50.0,,Emery,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,Grand,county,2,9,5,2.5,1.0,50.0,,Grand,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,San Juan,county,5,23,14,1.8,1.2,60.0,,San Juan,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,Southeastern Region total,regional_total,13,60,33,1.5,1.5,55.0,,Southeastern Region total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Southeastern,Unknown,county,5,23,0,1.9,0.6,0.0,,Unknown,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,youth_general_season_by_region_county,3-day youth general-season,Statewide,Statewide total,statewide_total,483,1250,376,1.8,0.8,30.1,,Statewide total,2024-25 turkey.pdf,7,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
