hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,data_status
BR1018,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit Only,Pursuit,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,"Black Bear pursuit permit - nonresident: Pursuit only; a pursuit permit authorizes pursuit, but not harvest, of black bears on units not designated as restricted during open pursuit seasons. Season dates are Spring: Mar 28-May 25, 2026; Summer: July 5-July 31, 2026; Fall: Nov 2-8, 2026. Nonresidents with pursuit permits may not use them on restricted pursuit units unless accompanying someone who possesses a valid restricted pursuit permit or hunting permit for that unit and season. See the 2026 Bear Cougar Furbearer Guidebook and hunt.utah.gov for complete unit availability.",DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7000,Beaver,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",9,1,10,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7001,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",49,5,54,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7003,Manti North,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",17,2,19,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7004,Manti South/San Rafael North,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",18,0,18,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7005,Nebo,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7007,Fillmore Pahvant,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",1,0,1,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7009,Mt Dutton,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",4,0,4,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7010,Panguitch Lake/Zion,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",9,0,9,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7011,Paunsaugunt,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",4,0,4,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7012,Boulder/Kaiparowits,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",20,2,22,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7013,Fishlake/Thousand Lakes,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7014,San Juan,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",35,3,38,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",7,0,7,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7016,Wasatch Mtns West-Central,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",36,4,40,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7017,Cache/Ogden,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",2,0,2,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7018,Kamas/North Slope Summit,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7020,Monroe,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",1,0,1,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7021,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",2,0,2,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7022,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",40,3,43,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7100,Beaver,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",9,1,10,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7101,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",14,1,15,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7102,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7104,Manti North,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",17,1,18,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7105,Manti South/San Rafael North,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7106,Nebo,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",8,0,8,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7109,Mt Dutton,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7110,Nine Mile,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7111,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",1,0,1,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7112,Panguitch Lake/Zion,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7113,Paunsaugunt,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7114,Boulder/Kaiparowits,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",13,1,14,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7115,Fishlake/Thousand Lakes,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",7,0,7,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7116,San Juan,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",22,2,24,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7117,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7118,Yellowstone,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7119,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7120,Wasatch Mtns West-Central,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",22,1,23,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7121,Cache/Ogden,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",4,0,4,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7122,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",7,0,7,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7123,Kamas/North Slope Summit,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7124,Fillmore Pahvant,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",2,0,2,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7125,Monroe,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",1,0,1,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7126,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7127,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",25,2,27,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7200,Beaver,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7201,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026",18,2,20,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7203,Manti North,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",10,1,11,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7204,Manti South/San Rafael North,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7205,Nebo,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7207,Fillmore Pahvant,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7210,Mt Dutton,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",3,0,3,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7211,Nine Mile,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",26,3,29,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7212,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7213,Panguitch Lake/Zion,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7214,Paunsaugunt,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7215,Boulder/Kaiparowits,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7216,Fishlake/Thousand Lakes,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7217,San Juan,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7218,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",7,0,7,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7219,Yellowstone,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7220,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7221,Wasatch Mtns West-Central,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7224,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",14,1,15,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7225,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Any Legal Weapon,Spot and Stalk,"Sept. 1 - Nov. 8, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7228,Cache/Ogden,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7229,Kamas/North Slope Summit,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7237,Monroe,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7238,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7239,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7300,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026",9,1,10,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7301,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7303,Manti North,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7304,Manti South/San Rafael North,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",18,2,20,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7305,Nebo,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7307,La Sal,Black Bear,Either Sex,Multiseason,Multiseason - Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",,,,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7308,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7309,Panguitch Lake/Zion,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7310,Boulder/Kaiparowits,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",10,1,11,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7311,Fishlake/Thousand Lakes,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7312,San Juan,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",11,1,12,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7313,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7314,Yellowstone,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7315,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7316,Wasatch Mtns West-Central,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",14,1,15,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7317,Nine Mile,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",9,1,10,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7318,Beaver,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR7320,Cache/Ogden,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
