key_id,topic,metric,value,unit,effective_period,management_implication,model_use_guidance,source_document,source_page,evidence_excerpt
ELK_ADULT_COW_SURV_WITH_HARVEST,Survival Metrics,Adult female annual survival including harvest,75-81,percent,Wasatch and surrounding units study period,Harvest pressure materially affects adult female survival.,Population-dynamics context only.,elk_plan.pdf,6,Annual survival ranged from 75 to 81 percent when harvest was included.
ELK_ADULT_COW_SURV_NO_HARVEST,Survival Metrics,Adult female annual survival excluding human harvest,93-98,percent,Wasatch and surrounding units study period,Baseline survival is high absent hunting mortality.,Population-dynamics context only.,elk_plan.pdf,6,Survival ranged from 93 to 98 percent in absence of harvest by humans.
ELK_ADULT_MORTALITY_SHARE_HUNTER,Mortality Drivers,Share of collared adult females killed by hunters,over 21,percent,Wasatch and surrounding units study period,Hunter harvest is dominant mortality driver in cited study.,Mortality composition context.,elk_plan.pdf,6,Over 21 percent of collared elk were killed by hunters.
ELK_CALF_SURVIVAL_FIRST_YEAR,Survival Metrics,Neonate survival during first year,41-47,percent,Book Cliffs study,Recruitment vulnerability is substantial.,Recruitment context only.,elk_plan.pdf,6,Neonate survival averaged between 41 and 47 percent.
ELK_CALF_MORTALITY_COUGAR_SHARE,Mortality Drivers,Collared calf first-year mortality attributed to cougars,up to 45,percent,Book Cliffs study,Predation pressure is a major calf constraint in cited unit.,Predation context only.,elk_plan.pdf,6,Up to 45 percent of collared calves were killed by cougars.
ELK_PREGNANCY_RATE_AVG,Reproduction Metrics,Average adult pregnancy rate,85,percent,winter capture dataset,Supports productivity expectations in good-condition cohorts.,Reproductive context only.,elk_plan.pdf,6,Average adult pregnancy rates have been 85%.
ELK_PREGNANCY_RATE_RANGE,Reproduction Metrics,Adult pregnancy rate range,55-100,percent,winter capture dataset,Large inter-unit/inter-year variability.,Uncertainty context only.,elk_plan.pdf,6,Pregnancy ranged from 55% to 100%.
ELK_PRIVATE_LANDS_ONLY_ANTLERLESS_2016,Distribution Management,Private-lands-only antlerless permit implementation year,2016,year,program start,Program used to reduce public-to-private seasonal exodus.,Access/distribution policy context.,elk_plan.pdf,8,Division began allowing purchase of private-lands-only antlerless elk permit in 2016.
ELK_LE_DEMAND_2022_APPLICANTS_PERMITS,Demand Pressure,Limited entry applicants and permits,75925 applicants for 3117 permits,applicants and permits,2022,Demand pressure remains high and rising.,Demand context only.,elk_plan.pdf,17,"In 2022, 75,925 hunters applied for 3,117 limited entry permits."
ELK_LE_DRAW_ODDS_2022,Demand Pressure,Limited entry draw odds in 2022,1:19.8 resident; 1:70.5 nonresident,odds,2022,Nonresident demand pressure is especially steep.,Draw pressure context only.,elk_plan.pdf,17,Resulting in 1:19.8 draw odds for residents and 1:70.5 for nonresidents.
ELK_ANY_BULL_SELL_OUT_ACCEL,Demand Pressure,General season any bull permit sellout acceleration,2018 sold out in 34 days; 2020 in less than 8 hours; 2022 in less than 6 hours,time-to-sellout,2018-2022,Explosive demand growth for general-season opportunity.,Demand trend context only.,elk_plan.pdf,17,Any bull permits sold out increasingly quickly from 2018 to 2022.
ELK_SPIKE_SELL_OUT_2022,Demand Pressure,General season spike sellout timing,9 hours,time-to-sellout,2022,Spike demand also highly elevated.,Demand trend context only.,elk_plan.pdf,17,General season spike bull tags sold out in just nine hours in 2022.
ELK_GENERAL_OPPORTUNITY_TARGETS,General Season Strategy,Statewide opportunity targets,15000 spike permits; up to 4500 multi-season sub-quota; up to 15000 early any-bull permits; unlimited late any-bull; unlimited general archery,permit strategy,strategy section,Defines access-centric structure for general units.,Policy context only.,elk_plan.pdf,22,General opportunity strategy lists fixed and unlimited permit lanes.
ELK_YOUTH_GENERAL_OPPORTUNITY,Youth Strategy,Youth general season opportunity,unlimited general season youth bull permits on spike and any-bull units; separate limited draw-only youth any-bull hunt,permit strategy,strategy section,Youth participation is preserved with broad access.,Program design context.,elk_plan.pdf,22,Unlimited youth bull permits plus limited-quota draw-only youth any-bull hunt.
ELK_LE_AGE_CATEGORIES,Limited Entry Strategy,Traditional LE age objective categories,6.5-7.0; 6.0-6.5; 5.5-6.0,years average age of harvest,strategy section,Three-tier age framework controls LE quality bands.,Quality framework input context.,elk_plan.pdf,22,Maintain 3 categories of age class harvest objectives.
ELK_LE_PERMIT_INCREASE_GATE,Limited Entry Strategy,Condition for increasing LE permits while maintaining quality,any-legal-weapon 3-year average success over 75% and unit meeting/exceeding age objective,rule threshold,strategy section,Explicit trigger for opportunity expansion.,Governance logic context only.,elk_plan.pdf,22,Increase permits when 3-year success exceeds 75% and age objective is met.
ELK_LE_WEAPON_ALLOCATION_STANDARD,Limited Entry Strategy,Traditional LE weapon allocation,25/15/60,archery/muzzleloader/any legal weapon percent,strategy section,Core allocation template for standard LE units.,Policy mix context.,elk_plan.pdf,23,"25% archery, 15% muzzleloader, 60% any legal weapon."
ELK_LE_ANY_WEAPON_SEASON_SPLIT,Limited Entry Strategy,Any-weapon split when all three seasons exist,10/30/17 plus 3 multi-season,early/mid/late any-weapon and multi-season percent,strategy section,Intra-any-weapon distribution template.,Allocation context only.,elk_plan.pdf,23,"10% early, 30% mid, 17% late any-weapon and 3% multi-season."
ELK_PRIMITIVE_WEAPON_SPLIT,Restricted Weapons Strategy,Primitive weapon LE allocation,50/50,September archery versus HAMS/restricted weapon percent,strategy section,Primitive opportunities balanced across two season types.,Program context only.,elk_plan.pdf,23,Allocate permits 50% September archery and 50% HAMS/restricted weapon.
ELK_ADAPTIVE_OPPORTUNITY_PERMIT_RULE,Adaptive Opportunity Hunts,Late-season adaptive permit sizing rule,1% of combined LE permits or minimum 5 permits,permit rule,strategy section,Controlled extra-opportunity mechanism on qualifying units.,Governance context only.,elk_plan.pdf,23,Permits should equal 1% of combined LE permits or a minimum of 5.
ELK_HIGH_BULL_COW_TRIGGER_RESTRICTED,Adaptive Opportunity Hunts,Restricted/HAMS recommendation trigger,bull:cow ratio greater than 40 bulls per 100 cows,ratio threshold,strategy section,High-ratio units can absorb additional restricted opportunity.,Sex-ratio management context.,elk_plan.pdf,23,Recommend additional restricted/HAMS hunts on units with bull:cow ratio > 40/100.
ELK_HABITAT_FORAGE_TREATMENT_TARGET,Habitat Management,Annual forage treatment target,minimum 40000,acres per year,strategy section,Habitat work benchmark for carrying capacity support.,Long-horizon habitat context.,elk_plan.pdf,21,"Increase forage production by annually treating a minimum of 40,000 acres."
ELK_HABITAT_MITIGATION_RATIO,Habitat Management,Voluntary mitigation ratio for disturbance in crucial habitat,4:1,acres improved or conserved per acre disturbed,strategy section,Large-scale development mitigation expectation.,Habitat governance context.,elk_plan.pdf,21,Voluntary mitigation recommended at a 4:1 ratio.
ELK_INTERNAL_USAGE_RULE,Data Governance,Age metrics policy boundary,Use age metrics for quality context only; do not directly override permit quotas or p_draw,rule,internal implementation,Preserves separation between quality indicators and draw mechanics.,Non-causal draw input unless explicitly validated.,internal foundational interpretation,derived,Implementation guardrail consistent with plan-governance usage.
